temp_station_name,record_date,temp_value
 Bogura  ,2022/03/20,35
 Bogura  ,2022/03/21,33
 Bogura  ,2022/03/22,33.3
 Bogura  ,2022/03/23,35.2
 Bogura  ,2022/03/24,35.5
 Bogura  ,2022/03/25,33.6
 Bogura  ,2022/03/26,36
 Bogura  ,2022/03/27,32.5
 Bogura  ,2022/03/28,33
 Bogura  ,2022/03/29,32
 Bogura  ,2022/03/30,32.2
 Bogura  ,2022/03/31,33
 Bogura  ,2022/04/01,33
 Bogura  ,2022/04/02,32.8
 Bogura  ,2022/04/03,33.8
 Bogura  ,2022/04/04,34.4
 Bogura  ,2022/04/05,33
 Bogura  ,2022/04/06,33.6
 Bogura  ,2022/04/07,33.1
 Bogura  ,2022/04/08,33
 Bogura  ,2022/04/09,32
 Bogura  ,2022/04/10,32
 Bogura  ,2022/04/11,33
 Bogura  ,2022/04/12,31.8
 Bogura  ,2022/04/13,32
 Bogura  ,2022/04/14,33.2
 Bogura  ,2022/04/15,36.8
 Bogura  ,2022/04/16,34.4
 Bogura  ,2022/04/17,34.1
 Bogura  ,2022/04/18,34.2
 Bogura  ,2022/04/19,33.3
 Bogura  ,2022/04/20,27
 Bogura  ,2022/04/21,29.4
 Bogura  ,2022/04/22,29.3
 Bogura  ,2022/04/23,35.5
 Bogura  ,2022/04/24,38
 Bogura  ,2022/04/25,36.2
 Bogura  ,2022/04/26,35
 Bogura  ,2022/04/27,34.5
 Bogura  ,2022/04/28,34.5
 Bogura  ,2022/04/29,38.5
 Bogura  ,2022/04/30,32.2
 Bogura  ,2022/05/01,34.2
 Bogura  ,2022/05/02,33
 Bogura  ,2022/05/03,28.8
 Bogura  ,2022/05/04,30.5
 Bogura  ,2022/05/05,33.1
 Bogura  ,2022/05/06,30.5
 Bogura  ,2022/05/07,31.5
 Bogura  ,2022/05/08,35.7
 Bogura  ,2022/05/09,34.1
 Bogura  ,2022/05/10,31.8
 Bogura  ,2022/05/11,31.4
 Bogura  ,2022/05/12,34.1
 Bogura  ,2022/05/13,28.5
 Bogura  ,2022/05/14,34.4
 Bogura  ,2022/05/15,34
 Bogura  ,2022/05/16,34.5
 Bogura  ,2022/05/17,33.2
 Bogura  ,2022/05/18,34.5
 Bogura  ,2022/05/19,32.2
 Bogura  ,2022/05/20,30.5
 Bogura  ,2022/05/21,28.4
 Bogura  ,2022/05/22,32
 Bogura  ,2022/05/23,34
 Bogura  ,2022/05/24,35.8
 Bogura  ,2022/05/25,33
 Bogura  ,2022/05/26,34.6
 Bogura  ,2022/05/27,34.2
 Bogura  ,2022/05/28,34.6
 Bogura  ,2022/05/29,34
 Bogura  ,2022/05/30,33.7
 Bogura  ,2022/05/31,33.6
 Bogura  ,2022/06/01,34.8
 Bogura  ,2022/06/02,32.8
 Bogura  ,2022/06/03,34.6
 Bogura  ,2022/06/04,28.8
 Bogura  ,2022/06/05,34
 Bogura  ,2022/06/06,29.5
 Bogura  ,2022/06/07,32.6
 Bogura  ,2022/06/08,34.8
 Bogura  ,2022/06/09,27
 Bogura  ,2022/06/10,32.8
 Bogura  ,2022/06/11,34
 Bogura  ,2022/06/12,32.6
 Bogura  ,2022/06/13,30.6
 Bogura  ,2022/06/14,33.2
 Bogura  ,2022/06/15,33.5
 Bogura  ,2022/06/16,33.1
 Bogura  ,2022/06/17,27.2
 Bogura  ,2022/06/18,33.4
 Bogura  ,2022/06/19,33.2
 Bogura  ,2022/06/20,31
 Bogura  ,2022/06/21,32.6
 Bogura  ,2022/06/22,33.2
 Bogura  ,2022/06/23,33.6
 Bogura  ,2022/06/24,33.5
 Bogura  ,2022/06/25,33.2
 Bogura  ,2022/06/26,34.4
 Bogura  ,2022/06/27,33.5
 Bogura  ,2022/06/28,33.4
 Bogura  ,2022/06/29,32.5
 Bogura  ,2022/06/30,32.5
 Bogura  ,2022/07/01,32.2
 Bogura  ,2022/07/02,34.5
 Bogura  ,2022/07/03,33.6
 Bogura  ,2022/07/04,34.4
 Bogura  ,2022/07/05,35
 Bogura  ,2022/07/06,32.4
 Bogura  ,2022/07/07,35.7
 Bogura  ,2022/07/08,34.8
 Bogura  ,2022/07/09,35.5
 Bogura  ,2022/07/10,35.4
 Bogura  ,2022/07/11,35
 Bogura  ,2022/07/12,35.2
 Bogura  ,2022/07/13,36.5
 Bogura  ,2022/07/14,36.7
 Bogura  ,2022/07/15,36.5
 Bogura  ,2022/07/16,36
 Bogura  ,2022/07/17,34.7
 Bogura  ,2022/07/18,34.8
 Bogura  ,2022/07/19,34.9
 Bogura  ,2022/07/20,34.5
 Bogura  ,2022/07/21,34.5
 Bogura  ,2022/07/22,34.3
 Bogura  ,2022/07/23,34.4
 Bogura  ,2022/07/24,30.2
 Bogura  ,2022/07/25,33
 Bogura  ,2022/07/26,30.1
 Bogura  ,2022/07/27,34
 Bogura  ,2022/07/28,30.8
 Bogura  ,2022/07/29,34.4
 Bogura  ,2022/07/30,33.5
 Bogura  ,2022/07/31,31.2
 Bogura  ,2022/08/01,27.5
 Bogura  ,2022/08/02,33
 Bogura  ,2022/08/03,33.6
 Bogura  ,2022/08/04,33
 Bogura  ,2022/08/05,35.5
 Bogura  ,2022/08/06,32
 Bogura  ,2022/08/07,35.2
 Bogura  ,2022/08/08,34.6
 Bogura  ,2022/08/09,33.8
 Bogura  ,2022/08/10,33
 Bogura  ,2022/08/11,33.8
 Bogura  ,2022/08/12,34.4
 Bogura  ,2022/08/13,33.5
 Bogura  ,2022/08/14,33.4
 Bogura  ,2022/08/15,33.4
 Bogura  ,2022/08/16,35.3
 Bogura  ,2022/08/17,36.2
 Bogura  ,2022/08/18,37
 Bogura  ,2022/08/19,34.5
 Bogura  ,2022/08/20,34.2
 Bogura  ,2022/08/21,34.2
 Bogura  ,2022/08/22,35.4
 Bogura  ,2022/08/23,33.4
 Bogura  ,2022/08/24,33.7
 Bogura  ,2022/08/25,33.6
 Bogura  ,2022/08/26,34.7
 Bogura  ,2022/08/27,34.2
 Bogura  ,2022/08/28,34
 Bogura  ,2022/08/29,32.2
 Bogura  ,2022/08/30,32.6
 Bogura  ,2022/08/31,33.5
 Bogura  ,2022/09/01,31.4
 Bogura  ,2022/09/02,33.2
 Bogura  ,2022/09/03,33.3
 Bogura  ,2022/09/04,32
 Bogura  ,2022/09/05,31.8
 Bogura  ,2022/09/06,32
 Bogura  ,2022/09/07,35
 Bogura  ,2022/09/08,33
 Bogura  ,2022/09/09,36
 Bogura  ,2022/09/10,34.7
 Bogura  ,2022/09/11,33
 Bogura  ,2022/09/12,31.2
 Bogura  ,2022/09/13,26
 Bogura  ,2022/09/14,30
 Bogura  ,2022/09/15,32
 Bogura  ,2022/09/16,32.6
 Bogura  ,2022/09/17,32.8
 Bogura  ,2022/09/18,34.6
 Bogura  ,2022/09/19,34
 Bogura  ,2022/09/20,33.5
 Bogura  ,2022/09/21,32.5
 Bogura  ,2022/09/22,33.8
 Bogura  ,2022/09/23,33.9
 Bogura  ,2022/09/24,33.7
 Bogura  ,2022/09/25,31.8
 Bogura  ,2022/09/26,33
 Bogura  ,2022/09/27,33.5
 Bogura  ,2022/09/28,34.5
 Bogura  ,2022/09/29,31.5
 Bogura  ,2022/09/30,34.7
 Bogura  ,2022/10/01,35.8
 Bogura  ,2022/10/02,30.8
 Bogura  ,2022/10/03,30.5
 Bogura  ,2022/10/04,32.6
 Bogura  ,2022/10/05,32.5
 Bogura  ,2022/10/06,32.5
 Bogura  ,2022/10/07,33.5
 Bogura  ,2022/10/08,34.5
 Bogura  ,2022/10/09,34.5
 Bogura  ,2022/10/10,33.6
 Bogura  ,2022/10/11,34.2
 Bogura  ,2022/10/12,31.5
 Bogura  ,2022/10/13,32.3
 Bogura  ,2022/10/14,33.2
 Bogura  ,2022/10/15,33
 Bogura  ,2022/10/16,33.8
 Bogura  ,2022/10/17,34.3
 Bogura  ,2022/10/18,34.4
 Bogura  ,2022/10/19,33
 Bogura  ,2022/10/20,33.1
 Bogura  ,2022/10/21,35
 Bogura  ,2022/10/22,34.6
 Bogura  ,2022/10/23,34.5
 Bogura  ,2022/10/24,26.6
 Bogura  ,2022/10/25,27.8
 Bogura  ,2022/10/26,31.4
 Bogura  ,2022/10/27,32
 Bogura  ,2022/10/28,30.6
 Bogura  ,2022/10/29,32.5
 Bogura  ,2022/10/30,32.5
 Bogura  ,2022/10/31,32.4
 Bogura  ,2022/11/01,33.4
 Bogura  ,2022/11/02,31.8
 Bogura  ,2022/11/03,31.2
 Bogura  ,2022/11/04,31
 Bogura  ,2022/11/05,32
 Bogura  ,2022/11/06,32.4
 Bogura  ,2022/11/07,31.5
 Bogura  ,2022/11/08,31.8
 Bogura  ,2022/11/09,32
 Bogura  ,2022/11/10,30.7
 Bogura  ,2022/11/11,31.5
 Bogura  ,2022/11/12,30.5
 Bogura  ,2022/11/13,30.2
 Bogura  ,2022/11/14,31
 Bogura  ,2022/11/15,30.6
 Bogura  ,2022/11/16,30.8
 Bogura  ,2022/11/17,30
 Bogura  ,2022/11/18,30.5
 Bogura  ,2022/11/19,31.3
 Bogura  ,2022/11/20,31.2
 Bogura  ,2022/11/21,30
 Bogura  ,2022/11/22,29.8
 Bogura  ,2022/11/23,30.4
 Bogura  ,2022/11/24,30.5
 Bogura  ,2022/11/25,31.2
 Bogura  ,2022/11/26,30.7
 Bogura  ,2022/11/27,30.6
 Bogura  ,2022/11/28,30.6
 Bogura  ,2022/11/29,30
 Bogura  ,2022/11/30,31
 Bogura  ,2022/12/01,30.8
 Bogura  ,2022/12/02,29.7
 Bogura  ,2022/12/03,29.6
 Bogura  ,2022/12/04,29.6
 Bogura  ,2022/12/05,30.4
 Bogura  ,2022/12/06,29.5
 Bogura  ,2022/12/07,28.5
 Bogura  ,2022/12/08,28.8
 Bogura  ,2022/12/09,29
 Bogura  ,2022/12/10,29
 Bogura  ,2022/12/11,28.8
 Bogura  ,2022/12/12,27.6
 Bogura  ,2022/12/13,26.8
 Bogura  ,2022/12/14,26.2
 Bogura  ,2022/12/15,25.4
 Bogura  ,2022/12/16,25.5
 Bogura  ,2022/12/17,26.7
 Bogura  ,2022/12/18,28
 Bogura  ,2022/12/19,27.8
 Bogura  ,2022/12/20,27.6
 Bogura  ,2022/12/21,27
 Bogura  ,2022/12/22,26.1
 Bogura  ,2022/12/23,26.4
 Bogura  ,2022/12/24,25.7
 Bogura  ,2022/12/25,24.6
 Bogura  ,2022/12/26,24
 Bogura  ,2022/12/27,24.6
 Bogura  ,2022/12/28,24.2
 Bogura  ,2022/12/29,20
 Bogura  ,2022/12/30,20.4
 Bogura  ,2022/12/31,20.4
 Faridpur,2021/07/01,27.4
 Faridpur,2021/07/02,28.9
 Faridpur,2021/07/03,33.4
 Faridpur,2021/07/04,30.3
 Faridpur,2021/07/05,34.3
 Faridpur,2021/07/06,34.7
 Faridpur,2021/07/07,33.2
 Faridpur,2021/07/08,32.7
 Faridpur,2021/07/09,34.2
 Faridpur,2021/07/10,34.1
 Faridpur,2021/07/11,34.5
 Faridpur,2021/07/12,34.9
 Faridpur,2021/07/13,33
 Faridpur,2021/07/14,34.1
 Faridpur,2021/07/15,35.2
 Faridpur,2021/07/16,35.7
 Faridpur,2021/07/17,35
 Faridpur,2021/07/18,34.2
 Faridpur,2021/07/19,31.7
 Faridpur,2021/07/20,31.7
 Faridpur,2021/07/21,32.4
 Faridpur,2021/07/22,33.8
 Faridpur,2021/07/23,31.2
 Faridpur,2021/07/24,31
 Faridpur,2021/07/25,34.7
 Faridpur,2021/07/26,34.6
 Faridpur,2021/07/27,33.6
 Faridpur,2021/07/28,30.7
 Faridpur,2021/07/29,28.8
 Faridpur,2021/07/30,31.5
 Faridpur,2021/07/31,32.2
 Faridpur,2021/08/01,32.7
 Faridpur,2021/08/02,32.6
 Faridpur,2021/08/03,33.6
 Faridpur,2021/08/04,33.5
 Faridpur,2021/08/05,35.3
 Faridpur,2021/08/06,33.6
 Faridpur,2021/08/07,31.5
 Faridpur,2021/08/08,30.6
 Faridpur,2021/08/09,31.6
 Faridpur,2021/08/10,34.2
 Faridpur,2021/08/11,34.1
 Faridpur,2021/08/12,33.9
 Faridpur,2021/08/13,32.5
 Faridpur,2021/08/14,33.6
 Faridpur,2021/08/15,33.5
 Faridpur,2021/08/16,30.6
 Faridpur,2021/08/17,31.7
 Faridpur,2021/08/18,30.8
 Faridpur,2021/08/19,31.4
 Faridpur,2021/08/20,31.6
 Faridpur,2021/08/21,33.4
 Faridpur,2021/08/22,33.9
 Faridpur,2021/08/23,33.7
 Faridpur,2021/08/24,34
 Faridpur,2021/08/25,32.7
 Faridpur,2021/08/26,31.5
 Faridpur,2021/08/27,33.3
 Faridpur,2021/08/28,32.8
 Faridpur,2021/08/29,32
 Faridpur,2021/08/30,32
 Faridpur,2021/08/31,33.5
 Faridpur,2021/09/01,31.7
 Faridpur,2021/09/02,33.5
 Faridpur,2021/09/03,34.6
 Faridpur,2021/09/04,34.4
 Faridpur,2021/09/05,34.6
 Faridpur,2021/09/06,33.4
 Faridpur,2021/09/07,31.8
 Faridpur,2021/09/08,33.1
 Faridpur,2021/09/09,33.5
 Faridpur,2021/09/10,35
 Faridpur,2021/09/11,34.7
 Faridpur,2021/09/12,33.7
 Faridpur,2021/09/13,32.5
 Faridpur,2021/09/14,29.3
 Faridpur,2021/09/15,33.9
 Faridpur,2021/09/16,33.8
 Faridpur,2021/09/17,32.2
 Faridpur,2021/09/18,33.2
 Faridpur,2021/09/19,29.8
 Faridpur,2021/09/20,31
 Faridpur,2021/09/21,31.5
 Faridpur,2021/09/22,30.5
 Faridpur,2021/09/23,33.6
 Faridpur,2021/09/24,35.6
 Faridpur,2021/09/25,34.1
 Faridpur,2021/09/26,35.5
 Faridpur,2021/09/27,34.8
 Faridpur,2021/09/28,32.1
 Faridpur,2021/09/29,31.2
 Faridpur,2021/09/30,34
 Faridpur,2021/10/01,35.7
 Faridpur,2021/10/02,34.7
 Faridpur,2021/10/03,33.9
 Faridpur,2021/10/04,33
 Faridpur,2021/10/05,32.4
 Faridpur,2021/10/06,33.4
 Faridpur,2021/10/07,34.5
 Faridpur,2021/10/08,34.5
 Faridpur,2021/10/09,34.8
 Faridpur,2021/10/10,35.2
 Faridpur,2021/10/11,34.7
 Faridpur,2021/10/12,34.5
 Faridpur,2021/10/13,33.5
 Faridpur,2021/10/14,35.5
 Faridpur,2021/10/15,36.5
 Faridpur,2021/10/16,35.2
 Faridpur,2021/10/17,34.7
 Faridpur,2021/10/18,29
 Faridpur,2021/10/19,28.7
 Faridpur,2021/10/20,31.7
 Faridpur,2021/10/21,31.7
 Faridpur,2021/10/22,32.2
 Faridpur,2021/10/23,32.2
 Faridpur,2021/10/24,32.1
 Faridpur,2021/10/25,31.6
 Faridpur,2021/10/26,32.2
 Faridpur,2021/10/27,32
 Faridpur,2021/10/28,32.2
 Faridpur,2021/10/29,33.3
 Faridpur,2021/10/30,32.5
 Faridpur,2021/10/31,32
 Faridpur,2021/11/01,31
 Faridpur,2021/11/02,30.2
 Faridpur,2021/11/03,30.8
 Faridpur,2021/11/04,30.5
 Faridpur,2021/11/05,30.6
 Faridpur,2021/11/06,33
 Faridpur,2021/11/07,30.2
 Faridpur,2021/11/08,30.5
 Faridpur,2021/11/09,31
 Faridpur,2021/11/10,31
 Faridpur,2021/11/11,31.4
 Faridpur,2021/11/12,28.6
 Faridpur,2021/11/13,22.2
 Faridpur,2021/11/14,24.6
 Faridpur,2021/11/15,24.2
 Faridpur,2021/11/16,28.7
 Faridpur,2021/11/17,29.4
 Faridpur,2021/11/18,30
 Faridpur,2021/11/19,29
 Faridpur,2021/11/20,29.3
 Faridpur,2021/11/21,29.7
 Faridpur,2021/11/22,31.2
 Faridpur,2021/11/23,30.7
 Faridpur,2021/11/24,30.1
 Faridpur,2021/11/25,28.6
 Faridpur,2021/11/26,27.6
 Faridpur,2021/11/27,28.2
 Faridpur,2021/11/28,28.2
 Faridpur,2021/11/29,28.7
 Faridpur,2021/11/30,29.2
 Faridpur,2021/12/01,29.8
 Faridpur,2021/12/02,29.7
 Faridpur,2021/12/03,29
 Faridpur,2021/12/04,25.3
 Faridpur,2021/12/05,23.8
 Faridpur,2021/12/06,21.8
 Faridpur,2021/12/07,24.6
 Faridpur,2021/12/08,26.9
 Faridpur,2021/12/09,27.6
 Faridpur,2021/12/10,27.2
 Faridpur,2021/12/11,26.6
 Faridpur,2021/12/12,25.4
 Faridpur,2021/12/13,26.3
 Faridpur,2021/12/14,25.8
 Faridpur,2021/12/15,26
 Faridpur,2021/12/16,25.9
 Faridpur,2021/12/17,25.7
 Faridpur,2021/12/18,26
 Faridpur,2021/12/19,23.7
 Faridpur,2021/12/20,23.2
 Faridpur,2021/12/21,24.6
 Faridpur,2021/12/22,23.1
 Faridpur,2021/12/23,24.5
 Faridpur,2021/12/24,25.5
 Faridpur,2021/12/25,26.1
 Faridpur,2021/12/26,26
 Faridpur,2021/12/27,26.2
 Faridpur,2021/12/28,26.1
 Faridpur,2021/12/29,23.9
 Faridpur,2021/12/30,24.1
 Faridpur,2021/12/31,25.3
 Feni ,2022/01/01,27.4
 Feni ,2022/01/02,27.4
 Feni ,2022/01/03,26.4
 Feni ,2022/01/04,26.4
 Feni ,2022/01/05,26.5
 Feni ,2022/01/06,27
 Feni ,2022/01/07,29.5
 Feni ,2022/01/08,30
 Feni ,2022/01/09,30
 Feni ,2022/01/10,29
 Feni ,2022/01/11,28.8
 Feni ,2022/01/12,24.3
 Feni ,2022/01/13,25.3
 Feni ,2022/01/14,22
 Feni ,2022/01/15,21.8
 Feni ,2022/01/16,25.2
 Feni ,2022/01/17,27
 Feni ,2022/01/18,27.5
 Feni ,2022/01/19,27
 Feni ,2022/01/20,24.2
 Feni ,2022/01/21,26
 Feni ,2022/01/22,25.6
 Feni ,2022/01/23,27.5
 Feni ,2022/01/24,22.8
 Feni ,2022/01/25,28.2
 Feni ,2022/01/26,24.5
 Feni ,2022/01/27,23.4
 Feni ,2022/01/28,23.7
 Feni ,2022/01/29,23
 Feni ,2022/01/30,23.8
 Feni ,2022/01/31,24.5
 Feni ,2022/02/01,26.5
 Feni ,2022/02/02,28
 Feni ,2022/02/03,28
 Feni ,2022/02/04,27
 Feni ,2022/02/05,24.8
 Feni ,2022/02/06,24.6
 Feni ,2022/02/07,24
 Feni ,2022/02/08,25.7
 Feni ,2022/02/09,27.2
 Feni ,2022/02/10,27.7
 Feni ,2022/02/11,27
 Feni ,2022/02/12,27.3
 Feni ,2022/02/13,28.2
 Feni ,2022/02/14,29.2
 Feni ,2022/02/15,29.5
 Feni ,2022/02/16,28.8
 Feni ,2022/02/17,28.5
 Feni ,2022/02/18,28.7
 Feni ,2022/02/19,28.4
 Feni ,2022/02/20,28.2
 Feni ,2022/02/21,29.3
 Feni ,2022/02/22,29.5
 Feni ,2022/02/23,30
 Feni ,2022/02/24,31
 Feni ,2022/02/25,31.2
 Feni ,2022/02/26,33
 Feni ,2022/02/27,33.5
 Feni ,2022/02/28,32.8
 Feni ,2022/03/01,33
 Feni ,2022/03/02,32.4
 Feni ,2022/03/03,32.8
 Feni ,2022/03/04,32.2
 Feni ,2022/03/05,33.2
 Feni ,2022/03/06,32.7
 Feni ,2022/03/07,34
 Feni ,2022/03/08,34
 Feni ,2022/03/09,34.2
 Feni ,2022/03/10,34.5
 Feni ,2022/03/11,33.8
 Feni ,2022/03/12,34
 Feni ,2022/03/13,34.2
 Feni ,2022/03/14,34.5
 Feni ,2022/03/15,36.6
 Feni ,2022/03/16,35.6
 Feni ,2022/03/17,36.4
 Feni ,2022/03/18,36
 Feni ,2022/03/19,36.5
 Feni ,2022/03/20,35.5
 Feni ,2022/03/21,35
 Feni ,2022/03/22,35
 Feni ,2022/03/23,35
 Feni ,2022/03/24,32.5
 Feni ,2022/03/25,32.2
 Feni ,2022/03/26,31.4
 Feni ,2022/03/27,33
 Feni ,2022/03/28,34.2
 Feni ,2022/03/29,32.5
 Feni ,2022/03/30,32.2
 Feni ,2022/03/31,32.7
 Feni ,2022/04/01,33
 Feni ,2022/04/02,33.5
 Feni ,2022/04/03,33.5
 Feni ,2022/04/04,34
 Feni ,2022/04/05,34
 Feni ,2022/04/06,34.4
 Feni ,2022/04/07,34.6
 Feni ,2022/04/08,34.6
 Feni ,2022/04/09,33.4
 Feni ,2022/04/10,34.2
 Feni ,2022/04/11,33.4
 Feni ,2022/04/12,34
 Feni ,2022/04/13,34.2
 Feni ,2022/04/14,32.5
 Feni ,2022/04/15,33
 Feni ,2022/04/16,32.5
 Feni ,2022/04/17,33.8
 Feni ,2022/04/18,33.8
 Feni ,2022/04/19,34.6
 Feni ,2022/04/20,25.7
 Feni ,2022/04/21,32.2
 Feni ,2022/04/22,33.5
 Feni ,2022/04/23,33.7
 Feni ,2022/04/24,34.2
 Feni ,2022/04/25,34.5
 Feni ,2022/04/26,34.5
 Feni ,2022/04/27,34.8
 Feni ,2022/04/28,35
 Feni ,2022/04/29,34.4
 Feni ,2022/04/30,34.5
 Feni ,2022/05/01,35.2
 Feni ,2022/05/02,34.5
 Feni ,2022/05/03,31
 Feni ,2022/05/04,28.5
 Feni ,2022/05/05,31.8
 Feni ,2022/05/06,34
 Feni ,2022/05/07,35.6
 Feni ,2022/05/08,36.2
 Feni ,2022/05/09,28.5
 Feni ,2022/05/10,30
 Feni ,2022/05/11,32
 Feni ,2022/05/12,30.8
 Feni ,2022/05/13,30
 Feni ,2022/05/14,33.2
 Feni ,2022/05/15,33.2
 Feni ,2022/05/16,33.4
 Feni ,2022/05/17,34.6
 Feni ,2022/05/18,35
 Feni ,2022/05/19,34.6
 Feni ,2022/05/20,33.7
 Feni ,2022/05/21,30.5
 Feni ,2022/05/22,33.7
 Feni ,2022/05/23,33.5
 Feni ,2022/05/24,36
 Feni ,2022/05/25,33.5
 Feni ,2022/05/26,33.7
 Feni ,2022/05/27,33
 Feni ,2022/05/28,32.5
 Feni ,2022/05/29,32
 Feni ,2022/05/30,31.2
 Feni ,2022/05/31,32.5
 Feni ,2022/06/01,32
 Feni ,2022/06/02,32.2
 Feni ,2022/06/03,30.5
 Feni ,2022/06/04,30.2
 Feni ,2022/06/05,32
 Feni ,2022/06/06,33.5
 Feni ,2022/06/07,33.5
 Feni ,2022/06/08,33.2
 Feni ,2022/06/09,32.5
 Feni ,2022/06/10,33.4
 Feni ,2022/06/11,33.7
 Feni ,2022/06/12,32.8
 Feni ,2022/06/13,33.2
 Feni ,2022/06/14,32.5
 Feni ,2022/06/15,31.5
 Feni ,2022/06/16,30.6
 Feni ,2022/06/17,27
 Feni ,2022/06/18,31.2
 Feni ,2022/06/19,27.4
 Feni ,2022/06/20,29.5
 Feni ,2022/06/21,30.5
 Feni ,2022/06/22,32.4
 Feni ,2022/06/23,32.4
 Feni ,2022/06/24,32.2
 Feni ,2022/06/25,32.8
 Feni ,2022/06/26,33.7
 Feni ,2022/06/27,34.2
 Feni ,2022/06/28,33
 Feni ,2022/06/29,29.4
 Feni ,2022/06/30,28.6
 Feni ,2022/07/01,32.2
 Feni ,2022/07/02,33
 Feni ,2022/07/03,33.5
 Feni ,2022/07/04,34.6
 Feni ,2022/07/05,35
 Feni ,2022/07/06,34
 Feni ,2022/07/07,34.5
 Feni ,2022/07/08,33
 Feni ,2022/07/09,35
 Feni ,2022/07/10,35.5
 Feni ,2022/07/11,33.7
 Feni ,2022/07/12,34.8
 Feni ,2022/07/13,34.2
 Feni ,2022/07/14,36.5
 Feni ,2022/07/15,35.5
 Feni ,2022/07/16,35.2
 Feni ,2022/07/17,35
 Feni ,2022/07/18,33.5
 Feni ,2022/07/19,33
 Feni ,2022/07/20,31.5
 Feni ,2022/07/21,33.7
 Feni ,2022/07/22,34.5
 Feni ,2022/07/23,31.8
 Feni ,2022/07/24,28.4
 Feni ,2022/07/25,31.7
 Feni ,2022/07/26,29.8
 Feni ,2022/07/27,34.2
 Feni ,2022/07/28,33
 Feni ,2022/07/29,34.2
 Feni ,2022/07/30,34.5
 Feni ,2022/07/31,34
 Feni ,2022/08/01,33
 Feni ,2022/08/02,34.5
 Feni ,2022/08/03,34
 Feni ,2022/08/04,34.6
 Feni ,2022/08/05,35.4
 Feni ,2022/08/06,33.4
 Feni ,2022/08/07,34.4
 Feni ,2022/08/08,32.8
 Feni ,2022/08/09,33.5
 Feni ,2022/08/10,30.5
 Feni ,2022/08/11,32.5
 Feni ,2022/08/12,34.3
 Feni ,2022/08/13,32.5
 Feni ,2022/08/14,32.7
 Feni ,2022/08/15,33.2
 Feni ,2022/08/16,32.8
 Feni ,2022/08/17,35.5
 Feni ,2022/08/18,36.5
 Feni ,2022/08/19,33
 Feni ,2022/08/20,33.4
 Feni ,2022/08/21,34.4
 Feni ,2022/08/22,35
 Feni ,2022/08/23,33.5
 Feni ,2022/08/24,32.2
 Feni ,2022/08/25,34
 Feni ,2022/08/26,34.5
 Feni ,2022/08/27,31.2
