thana_name,upzila_name
Morrelganj,Morrelganj
Sarankhola,Sarankhola
Abhaynagar,Abhaynagar
Jiban Nagar,Jibannagar
Kotchandpur,Kotchandpur
Shailkupa,Shailkupa
Harinakunda,Harinakunda
Kumarkhali,Kumarkhali
Kachua (B),Kachua
Lohagara (N),Lohagara
Kalia,Kalia
Sharsha,Sharsha
Keshabpur,Keshabpur
Damurhuda,Damurhuda
Gangni,Gangni
Kaliganj (J),Kaliganj
Manirampur,Manirampur
Bagher Para,Bagherpara
Moheshpur,Moheshpur
Dashmina,Dashmina
Agailjhara,Agailjhara
Bauphal,Bauphal
Patharghata,Patharghata
Kawkhali,Kawkhali
Mirzaganj,Mirzaganj
Kalapara,Kalapara
Amtali,Amtali
Betagi,Betagi
Galachipa,Galachipa
Barguna Sadar,Barguna Sadar
Bamna,Bamna
Bhandaria,Bhandaria
Indurkani,Indurkani
Rajapur,Rajapur
Nalchity,Nalchity
Jhalakati Sadar,Jhalakathi Sadar
Kathalia,Kathalia
Damudya,Damudya
Bhedarganj,Bhedarganj
Naria,Naria
Tungipara,Tungipara
Palong,Shariatpur Sadar
Kotalipara,Kotalipara
Muksudpur,Muksudpur
Alfadanga,Alfadanga
Boalmari,Boalmari
Bhanga,Bhanga
Zanjira,Zanjira
Sadarpur,Sadarpur
Madhukhali,Madhukhali
Nagarkanda,Nagarkanda
Char Bhadrasan,Charbhadrasan
Babuganj,Babuganj
Bholahat,Bholahat
Tanore,Tanore
Puthia,Puthia
Mohanpur,Mohanpur
Paba,Paba
Bagatipara,Bagatipara
Baraigram,Baraigram
Gurudaspur,Gurudaspur
Atgharia,Atgharia
Faridpur,Faridpur Sadar
Bhangura,Bhangura
Ishwardi,Ishwardi
Brahmanpara,Brahmanpara
Chandina,Chandina
Nangalkot,Nangalkot
Burichang,Burichang
Debidwar,Debidwar
Chauddagram,Chauddagram
Homna,Homna
Kachua (C),Kachua
Matlab,Matlab Uttar / Matlab Dakshin
Faridganj,Faridganj
Barura,Barura
Haimchar,Haimchar
Ramgati,Ramgati
Lalmohan,Lalmohan
Shahrasti,Shahrasti
Companiganj (N),Companiganj
Tazumuddin,Tazumuddin
Begumganj,Begumganj
Senbagh,Senbagh
Parshuram,Parshuram
Daganbhuiyan,Daganbhuiyan
Banshkhali,Banshkhali
Double Mooring,Chittagong Sadar
Kotwali (C),Chittagong Sadar
Fulgazi,Fulgazi
Sonagazi,Sonagazi
Pahartali,Chittagong Sadar
Chittagong Port,Chittagong Sadar
Chakaria,Chakaria
Panchlaish,Chittagong Sadar
Teknaf,Teknaf
Kamalganj,Kamalganj
Kulaura,Kulaura
Bishwanath,Bishwanath
Zakiganj,Zakiganj
Rajnagar,Rajnagar
Balaganj,Balaganj
Beanibazar,Beanibazar
Srimangal,Sreemangal
Barlekha,Barlekha
Fenchuganj,Fenchuganj
Golapganj,Golapganj
Kanaighat,Kanaighat
Companiganj (S),Companiganj
Sunamganj Sadar,Sunamganj Sadar
Chhatak,Chhatak
Jaintiapur,Jaintiapur
Gowainghat,Gowainghat
Jagannathpur,Jagannathpur
Lakhai,Lakhai
Bahubal,Bahubal
Madhabpur,Madhabpur
Nabiganj,Nabiganj
Sarail,Sarail
Brahmanbaria Sadar,Brahmanbaria Sadar
Kasba,Kasba
Nasirnagar,Nasirnagar
Lohajang,Lohajang
Gazaria,Gazaria
Serajdikhan,Serajdikhan
Srinagar,Srinagar
Tongibari,Tongibari
Banchharampur,Banchharampur
Nabinagar,Nabinagar
Sitakunda,Sitakunda
Ramu,Ramu
Hizla,Hizla
Mirpur (K),Mirpur
Gournadi,Gournadi
Bakerganj,Bakerganj
Banaripara,Banaripara
Wazirpur,Wazirpur
Nazirpur,Nazirpur
Mehendiganj,Mehendiganj
Muladi,Muladi
Nesarabad,Nesarabad
Shibchar,Shibchar
Rajoir,Rajoir
Kalkini,Kalkini
Baliakandi,Baliakandi
Goalandaghat,Goalanda
Bagmara,Bagmara
Bagha,Bagha
Durgapur (R),Durgapur
Santhia,Santhia
Burhanuddin,Burhanuddin
Bhola Sadar,Bhola Sadar
Char Fasson,Char Fasson
Daulatkhan,Daulatkhan
Pirojpur Sadar,Pirojpur Sadar
Pakundia,Pakundia
Hossainpur,Hossainpur
Bajitpur,Bajitpur
Tarail,Tarail
Karimganj,Karimganj
Phulpur,Phulpur
Dhobaura,Dhobaura
Muktagachha,Muktagachha
Fulbaria,Fulbaria
Ishwarganj,Ishwarganj
Ghatail,Ghatail
Bhuapur,Bhuapur
Basail,Basail
Nagarpur,Nagarpur
Kaliakair,Kaliakair
Kaliganj (G),Kaliganj
Dhunat,Dhunat
Dubchachia,Dupchanchia
Sonatala,Sonatala
Nandigram,Nandigram
Rajarhat,Rajarhat
Char Rajibpur,Char Rajibpur
Raumari,Raumari
Chilmari,Chilmari
Kurigram Sadar,Kurigram Sadar
Aditmari,Aditmari
Patgram,Patgram
Dimla,Dimla
Saidpur,Saidpur
Panchagarh Sadar,Panchagarh Sadar
Haripur,Haripur
Panchbibi,Panchbibi
Khetlal,Khetlal
Baniachong,Baniachong
Jamalganj,Jamalganj
Bishwambarpur,Bishwambarpur
Tahirpur,Tahirpur
Purbadhala,Purbadhala
Kalmakanda,Kalmakanda
Durgapur (N),Durgapur
Mohanganj,Mohanganj
Dharmapasha,Dharmapasha
Sherpur Sadar,Sherpur Sadar
Nalitabari,Nalitabari
Sribardi,Sribardi
Melandah,Melandaha
Islampur,Islampur
Raipur (N),Raipura
Manohardi,Manohardi
Palash,Palash
Belkuchi,Belkuchi
Tarash,Tarash
Ullahpara,Ullahpara
Chauhali,Chauhali
Sadullapur,Sadullapur
Saghatta,Saghatta
Mithapukur,Mithapukur
Badarganj,Badarganj
Taraganj,Taraganj
Kaharole,Kaharole
Khansama,Khansama
Chirirbandar,Chirirbandar
Birampur,Birampur
Nawabganj (Di),Nawabganj
Naogaon Sadar,Naogaon Sadar
Badalgachhi,Badalgachhi
Mahadebpur,Mahadebpur
Atrai,Atrai
Niamatpur,Niamatpur
Sapahar,Sapahar
Itna,Itna
Mithamain,Mithamain
Kuliarchar,Kuliarchar
Katiadi,Katiadi
Nikli,Nikli
Austagram,Austagram
Bhaluka,Bhaluka
Trishal,Trishal
Gouripur,Gauripur
Nandail,Nandail
Gopalpur,Gopalpur
Kalihati,Kalihati
Sakhipur,Sakhipur
Delduar,Delduar
Kapasia,Kapasia
Gazipur Sadar,Gazipur Sadar
Gabtali,Gabtali
Kahaloo,Kahalu
Shibganj (B),Shibganj
Sariakandi,Sariakandi
Phulbari,Phulbari
Bhurungamari,Bhurungamari
Kaliganj (L),Kaliganj
Kishoreganj,Kishoreganj
Debiganj,Debiganj
Atwari,Atwari
Pirganj (T),Pirganj
Kalai,Kalai
Akkelpur,Akkelpur
Ajmiriganj,Ajmiriganj
Dowarabazar,Dowarabazar
Derai,Derai
Sulla,Sulla
Kendua,Kendua
Madan,Madan
Atpara,Atpara
Barhatta,Barhatta
Khaliajuri,Khaliajuri
Nakla,Nakla
Jhenaigati,Jhenaigati
Madarganj,Madarganj
Bakshiganj,Bakshiganj
Shibpur,Shibpur
Belabo,Belabo
Kamarkhanda,Kamarkhanda
Shahjadpur,Shahjadpur
Kazipur,Kazipur
Palashbari,Palashbari
Fulchhari,Fulchhari
Kaunia,Kaunia
Gangachara,Gangachara
Pirganj (R),Pirganj
Pirgachha,Pirgachha
Bochaganj,Bochaganj
Biral,Biral
Fulbari,Fulbari
Ghoraghat,Ghoraghat
Dhamoirhat,Dhamoirhat
Porsha,Porsha
Raninagar,Raninagar
