sunshine_station_name,record_date,sunshine_hours
Ambagan,2009/01/06,1.8
Ambagan,2010/01/06,2.6
Ambagan,2011/01/06,7.5
Ambagan,2012/01/06,0
Ambagan,2013/01/06,10.5
Ambagan,2014/01/06,4.6
Ambagan,2015/01/06,10.6
Ambagan,2016/01/06,8.2
Ambagan,2017/01/06,0.2
Ambagan,2020/01/06,6
Ambagan,2022/01/06,3.8
Ambagan,2008/01/07,0
Ambagan,2009/01/07,0
Ambagan,2011/01/07,0
Ambagan,2012/01/07,10.4
Ambagan,2013/01/07,6.1
Ambagan,2014/01/07,6
Ambagan,2015/01/07,0
Ambagan,2016/01/07,4.6
Ambagan,2017/01/07,0.1
Ambagan,2020/01/07,4.8
Ambagan,2022/01/07,4.4
Ambagan,2008/01/08,9.7
Ambagan,2009/01/08,3.3
Ambagan,2010/01/08,7
Ambagan,2011/01/08,3
Ambagan,2012/01/08,2.8
Ambagan,2013/01/08,4.2
Ambagan,2014/01/08,8
Ambagan,2015/01/08,0.2
Ambagan,2016/01/08,3.1
Ambagan,2017/01/08,3.9
Ambagan,2020/01/08,5.9
Ambagan,2022/01/08,3.3
Ambagan,2008/01/09,9.1
Ambagan,2009/01/09,9.1
Ambagan,2010/01/09,10.3
Ambagan,2011/01/09,5.9
Ambagan,2012/01/09,7.8
Ambagan,2013/01/09,6.4
Ambagan,2014/01/09,7.3
Ambagan,2015/01/09,0
Ambagan,2016/01/09,0.2
Ambagan,2017/01/09,0.3
Ambagan,2020/01/09,1.9
Ambagan,2022/01/09,3.9
Ambagan,2008/01/10,8.9
Ambagan,2009/01/10,7.2
Ambagan,2010/01/10,8.6
Ambagan,2011/01/10,4.7
Ambagan,2012/01/10,10
Ambagan,2013/01/10,5.1
Ambagan,2014/01/10,4.8
Ambagan,2015/01/10,3.4
Ambagan,2016/01/10,8.3
Ambagan,2017/01/10,9.4
Ambagan,2020/01/10,5.3
Ambagan,2022/01/10,1.4
Ambagan,2008/01/11,9.7
Ambagan,2009/01/11,10.4
Ambagan,2010/01/11,7.5
Ambagan,2011/01/11,5.7
Ambagan,2012/01/11,5.8
Ambagan,2013/01/11,8.8
Ambagan,2014/01/11,10
Ambagan,2015/01/11,0
Ambagan,2016/01/11,8.6
Ambagan,2017/01/11,2.4
Ambagan,2020/01/11,0
Ambagan,2022/01/11,9.6
Ambagan,2008/01/12,8.6
Ambagan,2009/01/12,9.3
Ambagan,2010/01/12,9
Ambagan,2011/01/12,9.1
Ambagan,2012/01/12,7.7
Ambagan,2013/01/12,8.9
Ambagan,2014/01/12,7.5
Ambagan,2015/01/12,4.2
Ambagan,2016/01/12,7.3
Ambagan,2017/01/12,9.4
Ambagan,2020/01/12,9.6
Ambagan,2022/01/12,7.9
Ambagan,2008/02/01,5.6
Ambagan,2009/02/01,8.8
Ambagan,2010/02/01,5.9
Ambagan,2011/02/01,3.2
Ambagan,2012/02/01,0.5
Ambagan,2013/02/01,8.7
Ambagan,2014/02/01,8.6
Ambagan,2015/02/01,4.2
Ambagan,2016/02/01,9.5
Ambagan,2017/02/01,8.7
Ambagan,2020/02/01,0.8
Ambagan,2022/02/01,8.9
Ambagan,2008/02/02,9.2
Ambagan,2009/02/02,9.4
Ambagan,2010/02/02,9.9
Ambagan,2011/02/02,8
Ambagan,2012/02/02,9.5
Ambagan,2013/02/02,7.2
Ambagan,2014/02/02,7.8
Ambagan,2015/02/02,9.4
Ambagan,2016/02/02,7.3
Ambagan,2017/02/02,9.1
Ambagan,2020/02/02,7.3
Ambagan,2022/02/02,9.2
Ambagan,2008/02/03,8.1
Ambagan,2009/02/03,9.9
Ambagan,2010/02/03,8.9
Ambagan,2011/02/03,1
Ambagan,2012/02/03,5.6
Ambagan,2013/02/03,10.3
Ambagan,2014/02/03,10.1
Ambagan,2015/02/03,8.2
Ambagan,2016/02/03,8.4
Ambagan,2017/02/03,9.7
Ambagan,2020/02/03,8.6
Ambagan,2022/02/03,10.1
Ambagan,2008/02/04,9.7
Ambagan,2009/02/04,10.1
Ambagan,2010/02/04,8.3
Ambagan,2011/02/04,8.7
Ambagan,2012/02/04,7.6
Ambagan,2013/02/04,10.1
Ambagan,2014/02/04,7.5
Ambagan,2015/02/04,7.8
Ambagan,2016/02/04,6.4
Ambagan,2017/02/04,5.2
Ambagan,2020/02/04,0
Ambagan,2022/02/04,6.5
Ambagan,2008/02/05,9.9
Ambagan,2009/02/05,5.7
Ambagan,2010/02/05,9.6
Ambagan,2011/02/05,9.4
Ambagan,2012/02/05,7.7
Ambagan,2013/02/05,5.8
Ambagan,2014/02/05,4.2
Ambagan,2015/02/05,7.1
Ambagan,2016/02/05,6.2
Ambagan,2017/02/05,10.8
Ambagan,2020/02/05,8.5
Ambagan,2022/02/05,5.8
Ambagan,2008/02/06,7.7
Ambagan,2009/02/06,2.4
Ambagan,2010/02/06,7.1
Ambagan,2011/02/06,10.2
Ambagan,2012/02/06,1
Ambagan,2013/02/06,6.1
Ambagan,2014/02/06,3.4
Ambagan,2015/02/06,11.3
Ambagan,2016/02/06,9.4
Ambagan,2017/02/06,1.1
Ambagan,2020/02/06,2.3
Ambagan,2022/02/06,0
Ambagan,2008/02/07,0.2
Ambagan,2009/02/07,0.4
Ambagan,2011/02/07,0
Ambagan,2012/02/07,6.6
Ambagan,2013/02/07,8.4
Ambagan,2014/02/07,0.7
Ambagan,2015/02/07,0.4
Ambagan,2016/02/07,1
Ambagan,2017/02/07,1.7
Ambagan,2020/02/07,2.1
Ambagan,2022/02/07,6.3
Ambagan,2008/02/08,6.9
Ambagan,2009/02/08,3.9
Ambagan,2010/02/08,10.7
Ambagan,2011/02/08,1.9
Ambagan,2012/02/08,6.2
Ambagan,2013/02/08,8.8
Ambagan,2014/02/08,7.2
Ambagan,2015/02/08,3.8
Ambagan,2016/02/08,4.6
Ambagan,2017/02/08,4.9
Ambagan,2020/02/08,4.3
Ambagan,2022/02/08,4.7
Ambagan,2008/02/09,5.4
Ambagan,2009/02/09,7
Ambagan,2010/02/09,8.7
Ambagan,2011/02/09,0.8
Ambagan,2012/02/09,10.4
Ambagan,2013/02/09,4.3
Ambagan,2014/02/09,10.4
Ambagan,2015/02/09,0.8
Ambagan,2016/02/09,1.6
Ambagan,2017/02/09,0.2
Ambagan,2020/02/09,6.3
Ambagan,2022/02/09,3.5
Ambagan,2008/02/10,1.3
Ambagan,2009/02/10,7.9
Ambagan,2010/02/10,10
Ambagan,2011/02/10,4.2
Ambagan,2012/02/10,5.4
Ambagan,2013/02/10,4.8
Ambagan,2014/02/10,5.5
Ambagan,2015/02/10,1.9
Ambagan,2016/02/10,8.1
Ambagan,2017/02/10,7.7
Ambagan,2020/02/10,7.3
Ambagan,2022/02/10,2.9
Ambagan,2008/02/11,8.6
Ambagan,2009/02/11,10.1
Ambagan,2010/02/11,7.9
Ambagan,2011/02/11,9.2
Ambagan,2012/02/11,5.5
Ambagan,2013/02/11,8.5
Ambagan,2014/02/11,10.3
Ambagan,2015/02/11,5.5
Ambagan,2016/02/11,8.6
Ambagan,2017/02/11,8.7
Ambagan,2020/02/11,1.4
Ambagan,2022/02/11,10
Ambagan,2008/02/12,8.6
Ambagan,2009/02/12,9.4
Ambagan,2010/02/12,9.1
Ambagan,2011/02/12,8.7
Ambagan,2012/02/12,8.8
Ambagan,2013/02/12,8.6
Ambagan,2014/02/12,6.7
Ambagan,2015/02/12,0
Ambagan,2016/02/12,8.5
Ambagan,2017/02/12,9.9
Ambagan,2020/02/12,9.4
Ambagan,2022/02/12,9.2
Ambagan,2008/03/01,8.6
Ambagan,2009/03/01,9.3
Ambagan,2010/03/01,8.7
Ambagan,2011/03/01,8.3
Ambagan,2012/03/01,6.7
Ambagan,2013/03/01,1.7
Ambagan,2014/03/01,8
Ambagan,2015/03/01,9.4
Ambagan,2016/03/01,7.9
Ambagan,2017/03/01,9.3
Ambagan,2020/03/01,0.8
Ambagan,2022/03/01,7.6
Ambagan,2008/03/02,9.6
Ambagan,2009/03/02,8.9
Ambagan,2010/03/02,9.6
Ambagan,2011/03/02,8.3
Ambagan,2012/03/02,9.6
Ambagan,2013/03/02,4.6
Ambagan,2014/03/02,9.2
Ambagan,2015/03/02,9.6
Ambagan,2016/03/02,4.6
Ambagan,2017/03/02,9
Ambagan,2020/03/02,9.7
Ambagan,2022/03/02,9.5
Ambagan,2008/03/03,6.9
Ambagan,2009/03/03,9.2
Ambagan,2010/03/03,6.5
Ambagan,2011/03/03,9.8
Ambagan,2012/03/03,1.7
Ambagan,2013/03/03,10
Ambagan,2014/03/03,9.9
Ambagan,2015/03/03,9.5
Ambagan,2016/03/03,8.7
Ambagan,2017/03/03,8.5
Ambagan,2020/03/03,8
Ambagan,2022/03/03,10.1
Ambagan,2008/03/04,8.8
Ambagan,2009/03/04,9.3
Ambagan,2010/03/04,9.3
Ambagan,2011/03/04,7.1
Ambagan,2012/03/04,5.3
Ambagan,2013/03/04,6.6
Ambagan,2014/03/04,7.4
Ambagan,2015/03/04,3.2
Ambagan,2016/03/04,4.9
Ambagan,2017/03/04,3.9
Ambagan,2020/03/04,0
Ambagan,2022/03/04,8.7
Ambagan,2008/03/05,9.3
Ambagan,2009/03/05,5.3
Ambagan,2010/03/05,9.5
Ambagan,2011/03/05,9.5
Ambagan,2012/03/05,10.6
Ambagan,2013/03/05,7.5
Ambagan,2014/03/05,5.2
Ambagan,2015/03/05,10.8
Ambagan,2016/03/05,6.8
Ambagan,2017/03/05,8.5
Ambagan,2020/03/05,2.3
Ambagan,2022/03/05,2.6
Ambagan,2008/03/06,6.6
Ambagan,2009/03/06,1.7
Ambagan,2010/03/06,3.3
Ambagan,2011/03/06,9.6
Ambagan,2012/03/06,7.4
Ambagan,2013/03/06,2.3
Ambagan,2014/03/06,1.6
Ambagan,2015/03/06,10.9
Ambagan,2016/03/06,9.9
Ambagan,2017/03/06,0
Ambagan,2020/03/06,1.6
Ambagan,2022/03/06,1.3
Ambagan,2008/03/07,0
Ambagan,2009/03/07,4.9
Ambagan,2011/03/07,1.1
Ambagan,2012/03/07,4.5
Ambagan,2013/03/07,5.7
Ambagan,2014/03/07,0.6
Ambagan,2015/03/07,0
Ambagan,2016/03/07,0
Ambagan,2017/03/07,0
Ambagan,2020/03/07,8.3
Ambagan,2022/03/07,6.4
Ambagan,2008/03/08,1.6
Ambagan,2009/03/08,8.4
Ambagan,2010/03/08,6.9
Ambagan,2011/03/08,5.1
Ambagan,2012/03/08,7.8
Ambagan,2013/03/08,8.6
Ambagan,2014/03/08,3.4
Ambagan,2015/03/08,9.8
Ambagan,2016/03/08,10.1
Ambagan,2017/03/08,7.2
Ambagan,2020/03/08,3.6
Ambagan,2022/03/08,2.8
Ambagan,2008/03/09,1.4
Ambagan,2009/03/09,6.7
Ambagan,2010/03/09,4.4
Ambagan,2011/03/09,8.7
Ambagan,2012/03/09,4.3
Ambagan,2013/03/09,9.6
Ambagan,2014/03/09,4.5
Ambagan,2015/03/09,1.2
Ambagan,2016/03/09,8.1
Ambagan,2017/03/09,0
Ambagan,2020/03/09,9.1
Ambagan,2022/03/09,9.5
Ambagan,2008/03/10,8.9
Ambagan,2009/03/10,1
Ambagan,2010/03/10,8.6
Ambagan,2011/03/10,4.5
Ambagan,2012/03/10,0
Ambagan,2013/03/10,6.6
Ambagan,2014/03/10,7.5
Ambagan,2015/03/10,6
Ambagan,2016/03/10,1.3
Ambagan,2017/03/10,5.2
Ambagan,2020/03/10,9.7
Ambagan,2022/03/10,7.2
Ambagan,2008/03/11,10.2
Ambagan,2009/03/11,5.5
Ambagan,2010/03/11,9.2
Ambagan,2011/03/11,8.8
Ambagan,2012/03/11,0
Ambagan,2013/03/11,8.4
Ambagan,2014/03/11,10.2
Ambagan,2015/03/11,9.9
Ambagan,2016/03/11,7.3
Ambagan,2017/03/11,9.7
Ambagan,2020/03/11,0.9
Ambagan,2022/03/11,7.2
Ambagan,2008/03/12,7.7
Ambagan,2009/03/12,9.4
Ambagan,2010/03/12,9.1
Ambagan,2011/03/12,2.8
Ambagan,2012/03/12,9.5
Ambagan,2013/03/12,8.6
Ambagan,2014/03/12,7.4
Ambagan,2015/03/12,0
Ambagan,2016/03/12,9.6
Ambagan,2017/03/12,9.8
Ambagan,2020/03/12,8.3
Ambagan,2022/03/12,9.6
Ambagan,2008/04/01,9.1
Ambagan,2009/04/01,8.9
Ambagan,2010/04/01,6.2
Ambagan,2011/04/01,5.1
Ambagan,2012/04/01,5.2
Ambagan,2013/04/01,8.1
Ambagan,2014/04/01,7.8
Ambagan,2015/04/01,8.2
Ambagan,2016/04/01,8.5
Ambagan,2017/04/01,8.2
Ambagan,2020/04/01,2.2
Ambagan,2022/04/01,9.4
Ambagan,2008/04/02,9.4
Ambagan,2009/04/02,8.4
Ambagan,2010/04/02,10
Ambagan,2011/04/02,7.8
Ambagan,2012/04/02,9.5
Ambagan,2013/04/02,7.6
Ambagan,2014/04/02,8.7
Ambagan,2015/04/02,9.5
Ambagan,2016/04/02,7.1
Ambagan,2017/04/02,9.8
Ambagan,2020/04/02,9.5
Ambagan,2022/04/02,8.7
Ambagan,2008/04/03,8.4
Ambagan,2009/04/03,7.5
Ambagan,2010/04/03,6.4
Ambagan,2011/04/03,9.7
Ambagan,2012/04/03,9.3
Ambagan,2013/04/03,9.7
Ambagan,2014/04/03,3.7
Ambagan,2015/04/03,5
Ambagan,2016/04/03,9.2
Ambagan,2017/04/03,8.6
Ambagan,2020/04/03,5.5
Ambagan,2022/04/03,9.7
Ambagan,2008/04/04,5.2
Ambagan,2009/04/04,9.5
Ambagan,2010/04/04,8.4
Ambagan,2011/04/04,8.9
Ambagan,2012/04/04,4.5
Ambagan,2013/04/04,8.3
Ambagan,2014/04/04,6.4
Ambagan,2015/04/04,7.1
Ambagan,2016/04/04,0.6
Ambagan,2017/04/04,3.9
Ambagan,2020/04/04,0
Ambagan,2022/04/04,6.5
Ambagan,2008/04/05,3.2
Ambagan,2009/04/05,10.8
Ambagan,2010/04/05,6.3
Ambagan,2011/04/05,4.6
Ambagan,2012/04/05,4.1
Ambagan,2013/04/05,0.4
Ambagan,2014/04/05,10.8
Ambagan,2015/04/05,5.4
Ambagan,2016/04/05,4.5
Ambagan,2017/04/05,3.7
Ambagan,2020/04/05,6.3
Ambagan,2022/04/05,1.7
Ambagan,2008/04/06,6.7
Ambagan,2009/04/06,10.2
Ambagan,2010/04/06,3.5
Ambagan,2011/04/06,9.9
Ambagan,2012/04/06,4.2
Ambagan,2013/04/06,10.4
Ambagan,2014/04/06,5
Ambagan,2015/04/06,7.5
Ambagan,2016/04/06,11.6
Ambagan,2017/04/06,0.1
Ambagan,2020/04/06,4.5
Ambagan,2022/04/06,0
Ambagan,2008/04/07,0.7
Ambagan,2009/04/07,8.8
Ambagan,2011/04/07,3.3
Ambagan,2012/04/07,4.6
Ambagan,2013/04/07,1.6
Ambagan,2014/04/07,0
Ambagan,2015/04/07,0
Ambagan,2016/04/07,0
Ambagan,2017/04/07,0
Ambagan,2020/04/07,8.2
Ambagan,2022/04/07,9.7
Ambagan,2008/04/08,6.8
Ambagan,2009/04/08,9.2
Ambagan,2010/04/08,7.6
Ambagan,2011/04/08,0.9
Ambagan,2012/04/08,6.3
Ambagan,2013/04/08,4.2
Ambagan,2014/04/08,0
Ambagan,2015/04/08,9.3
Ambagan,2016/04/08,11
Ambagan,2017/04/08,8.1
Ambagan,2020/04/08,5.3
Ambagan,2022/04/08,2.2
Ambagan,2008/04/09,0
Ambagan,2009/04/09,3.3
Ambagan,2010/04/09,9
Ambagan,2011/04/09,8
Ambagan,2012/04/09,0.5
Ambagan,2013/04/09,0
Ambagan,2014/04/09,4.8
Ambagan,2015/04/09,7.7
Ambagan,2016/04/09,5.1
Ambagan,2017/04/09,4.1
Ambagan,2020/04/09,7.9
Ambagan,2022/04/09,2.9
Ambagan,2008/04/10,8.3
Ambagan,2009/04/10,4.5
Ambagan,2010/04/10,9.3
Ambagan,2011/04/10,3
Ambagan,2012/04/10,4.2
Ambagan,2013/04/10,0.1
Ambagan,2014/04/10,9.7
Ambagan,2015/04/10,7.4
Ambagan,2016/04/10,2.9
Ambagan,2017/04/10,9.1
Ambagan,2020/04/10,7.1
Ambagan,2022/04/10,8.7
Ambagan,2008/04/11,0.1
Ambagan,2009/04/11,5.9
Ambagan,2010/04/11,10.3
Ambagan,2011/04/11,8
Ambagan,2012/04/11,0.3
Ambagan,2013/04/11,9.1
Ambagan,2014/04/11,9.5
Ambagan,2015/04/11,9.4
Ambagan,2016/04/11,0
Ambagan,2017/04/11,8.7
Ambagan,2020/04/11,2.6
Ambagan,2022/04/11,8.3
Ambagan,2008/04/12,7.2
Ambagan,2009/04/12,8
Ambagan,2010/04/12,9.1
Ambagan,2011/04/12,1.9
Ambagan,2012/04/12,9.5
Ambagan,2013/04/12,9
Ambagan,2014/04/12,8.6
Ambagan,2015/04/12,5.9
Ambagan,2016/04/12,9.6
Ambagan,2017/04/12,9.8
Ambagan,2020/04/12,7.5
Ambagan,2022/04/12,9.2
Ambagan,2008/05/01,9.4
Ambagan,2009/05/01,7.3
Ambagan,2010/05/01,7.7
Ambagan,2011/05/01,6.8
Ambagan,2012/05/01,7
Ambagan,2013/05/01,8.9
Ambagan,2014/05/01,6.8
Ambagan,2015/05/01,7.1
Ambagan,2016/05/01,8.5
Ambagan,2017/05/01,8.6
Ambagan,2020/05/01,8
Ambagan,2022/05/01,8
Ambagan,2008/05/02,9.5
Ambagan,2009/05/02,8.3
Ambagan,2010/05/02,9.8
Ambagan,2011/05/02,10
Ambagan,2012/05/02,8.9
Ambagan,2013/05/02,9.6
Ambagan,2014/05/02,6.4
Ambagan,2015/05/02,8.7
Ambagan,2016/05/02,7.8
Ambagan,2017/05/02,9.8
Ambagan,2020/05/02,7.9
Ambagan,2022/05/02,3.3
Ambagan,2008/05/03,7.3
Ambagan,2009/05/03,8.1
Ambagan,2010/05/03,6.3
Ambagan,2011/05/03,8.6
Ambagan,2012/05/03,8.4
Ambagan,2013/05/03,9.6
Ambagan,2014/05/03,9.5
Ambagan,2015/05/03,6.3
Ambagan,2016/05/03,7.7
Ambagan,2017/05/03,7.6
Ambagan,2020/05/03,7.2
Ambagan,2022/05/03,4.9
Ambagan,2008/05/04,8.4
Ambagan,2009/05/04,9.4
Ambagan,2010/05/04,8.9
Ambagan,2011/05/04,9.5
Ambagan,2012/05/04,4.3
Ambagan,2013/05/04,9.9
Ambagan,2014/05/04,7.4
Ambagan,2015/05/04,5.5
Ambagan,2016/05/04,2
Ambagan,2017/05/04,4.8
Ambagan,2020/05/04,0
Ambagan,2022/05/04,9.7
Ambagan,2008/05/05,1.9
Ambagan,2009/05/05,9.3
Ambagan,2010/05/05,6.2
Ambagan,2011/05/05,6.4
Ambagan,2012/05/05,10.8
Ambagan,2013/05/05,1.8
Ambagan,2014/05/05,1.6
Ambagan,2015/05/05,8.8
Ambagan,2016/05/05,5.4
Ambagan,2017/05/05,5.4
Ambagan,2020/05/05,10
Ambagan,2022/05/05,6
Ambagan,2008/05/06,0
Ambagan,2009/05/06,9.6
Ambagan,2010/05/06,5.6
Ambagan,2011/05/06,9.3
Ambagan,2012/05/06,1.5
Ambagan,2013/05/06,9.5
Ambagan,2014/05/06,5
Ambagan,2015/05/06,4.3
Ambagan,2016/05/06,6
Ambagan,2017/05/06,6.3
Ambagan,2020/05/06,3.7
Ambagan,2022/05/06,8.3
Ambagan,2008/05/07,0
Ambagan,2009/05/07,6.8
Ambagan,2011/05/07,11.5
Ambagan,2012/05/07,5.1
Ambagan,2013/05/07,7.6
Ambagan,2014/05/07,0.6
Ambagan,2015/05/07,4
Ambagan,2016/05/07,0
Ambagan,2017/05/07,0
Ambagan,2020/05/07,1
Ambagan,2022/05/07,7.2
Ambagan,2008/05/08,6.2
Ambagan,2009/05/08,3.9
Ambagan,2010/05/08,6.6
Ambagan,2011/05/08,0
Ambagan,2012/05/08,1.8
Ambagan,2013/05/08,8.7
Ambagan,2014/05/08,0.5
Ambagan,2015/05/08,3.7
Ambagan,2016/05/08,8.2
Ambagan,2017/05/08,6.4
Ambagan,2020/05/08,3.6
Ambagan,2022/05/08,2.7
Ambagan,2008/05/09,0
Ambagan,2009/05/09,4
Ambagan,2010/05/09,8.7
Ambagan,2011/05/09,7.2
Ambagan,2012/05/09,0.4
Ambagan,2013/05/09,1.7
Ambagan,2014/05/09,6.2
Ambagan,2015/05/09,5.6
Ambagan,2016/05/09,5.1
Ambagan,2017/05/09,8.2
Ambagan,2020/05/09,4.3
Ambagan,2022/05/09,0.8
Ambagan,2008/05/10,4.7
Ambagan,2009/05/10,7.3
Ambagan,2010/05/10,4.6
Ambagan,2011/05/10,6.6
Ambagan,2012/05/10,0
Ambagan,2013/05/10,0
Ambagan,2014/05/10,9.7
Ambagan,2015/05/10,4.1
Ambagan,2016/05/10,3.3
Ambagan,2017/05/10,1.7
Ambagan,2020/05/10,4.5
Ambagan,2022/05/10,10.4
Ambagan,2008/05/11,0
Ambagan,2009/05/11,0.2
Ambagan,2010/05/11,10.4
Ambagan,2011/05/11,8.3
Ambagan,2012/05/11,5.1
Ambagan,2013/05/11,9
Ambagan,2014/05/11,9.5
Ambagan,2015/05/11,10.3
Ambagan,2016/05/11,0
Ambagan,2017/05/11,7
Ambagan,2020/05/11,8.8
Ambagan,2022/05/11,9.3
Ambagan,2008/05/12,9
Ambagan,2009/05/12,8.5
Ambagan,2010/05/12,0
Ambagan,2011/05/12,6.6
Ambagan,2012/05/12,8.8
Ambagan,2013/05/12,9.1
Ambagan,2014/05/12,9.1
Ambagan,2015/05/12,8.2
Ambagan,2016/05/12,9.6
Ambagan,2017/05/12,9.5
Ambagan,2020/05/12,7.2
Ambagan,2022/05/12,9.3
Ambagan,2008/06/01,9.6
Ambagan,2009/06/01,7.3
Ambagan,2010/06/01,8.1
Ambagan,2011/06/01,6
Ambagan,2012/06/01,4.4
Ambagan,2013/06/01,8.8
Ambagan,2014/06/01,6.6
Ambagan,2015/06/01,8.8
Ambagan,2016/06/01,8.1
Ambagan,2017/06/01,7.3
Ambagan,2020/06/01,9
Ambagan,2022/06/01,8.1
Ambagan,2008/06/02,8.1
Ambagan,2009/06/02,8.5
Ambagan,2010/06/02,9.8
Ambagan,2011/06/02,9.2
Ambagan,2012/06/02,9.1
Ambagan,2013/06/02,9.9
Ambagan,2014/06/02,5
Ambagan,2015/06/02,7.7
Ambagan,2016/06/02,9.1
Ambagan,2017/06/02,9.7
Ambagan,2020/06/02,9.2
Ambagan,2022/06/02,9.7
Ambagan,2008/06/03,8.7
Ambagan,2009/06/03,8
Ambagan,2010/06/03,3.9
Ambagan,2011/06/03,8.8
Ambagan,2012/06/03,6.7
Ambagan,2013/06/03,9.8
Ambagan,2014/06/03,9.7
Ambagan,2015/06/03,10.2
Ambagan,2016/06/03,8.5
Ambagan,2017/06/03,5
Ambagan,2020/06/03,0.2
Ambagan,2022/06/03,10.1
Ambagan,2008/06/04,9.9
Ambagan,2009/06/04,8.8
Ambagan,2010/06/04,8.1
Ambagan,2011/06/04,9.5
Ambagan,2012/06/04,1.5
Ambagan,2013/06/04,8.4
Ambagan,2014/06/04,6.6
Ambagan,2015/06/04,2
Ambagan,2016/06/04,7.2
Ambagan,2017/06/04,9.7
Ambagan,2020/06/04,0
Ambagan,2022/06/04,10
Ambagan,2008/06/05,7.7
Ambagan,2009/06/05,9.5
Ambagan,2010/06/05,5
Ambagan,2011/06/05,5.4
Ambagan,2012/06/05,10.1
Ambagan,2013/06/05,0.6
Ambagan,2014/06/05,4.2
Ambagan,2015/06/05,9.3
Ambagan,2016/06/05,4.9
Ambagan,2017/06/05,8.3
Ambagan,2020/06/05,6.9
Ambagan,2022/06/05,9.7
Ambagan,2008/06/06,4.2
Ambagan,2009/06/06,4.8
Ambagan,2010/06/06,1
Ambagan,2011/06/06,11
Ambagan,2012/06/06,5.3
Ambagan,2013/06/06,7.3
Ambagan,2014/06/06,9.2
Ambagan,2015/06/06,0
Ambagan,2016/06/06,8.3
Ambagan,2017/06/06,8.3
Ambagan,2020/06/06,9.8
Ambagan,2022/06/06,8.9
Ambagan,2008/06/07,0
Ambagan,2009/06/07,1.8
Ambagan,2011/06/07,10.5
Ambagan,2012/06/07,5.4
Ambagan,2013/06/07,4.2
Ambagan,2014/06/07,9.3
Ambagan,2015/06/07,5.7
Ambagan,2016/06/07,0
Ambagan,2017/06/07,1
Ambagan,2020/06/07,2.3
Ambagan,2022/06/07,6.2
Ambagan,2008/06/08,6.6
Ambagan,2009/06/08,0
Ambagan,2010/06/08,6.4
Ambagan,2011/06/08,1.1
Ambagan,2012/06/08,3
Ambagan,2013/06/08,2
Ambagan,2014/06/08,1.6
Ambagan,2015/06/08,7.3
Ambagan,2016/06/08,3.9
Ambagan,2017/06/08,1.5
Ambagan,2020/06/08,2.5
Ambagan,2022/06/08,5.5
Ambagan,2008/06/09,8
Ambagan,2009/06/09,4.4
Ambagan,2010/06/09,9.4
Ambagan,2011/06/09,7
Ambagan,2012/06/09,4.3
Ambagan,2013/06/09,7.9
Ambagan,2014/06/09,9.9
Ambagan,2015/06/09,4.8
Ambagan,2016/06/09,1.3
Ambagan,2017/06/09,2.8
Ambagan,2020/06/09,7.8
Ambagan,2022/06/09,8.4
Ambagan,2008/06/10,2.9
Ambagan,2009/06/10,4.4
Ambagan,2010/06/10,0
Ambagan,2011/06/10,6.5
Ambagan,2012/06/10,10.2
Ambagan,2013/06/10,0
Ambagan,2014/06/10,9.9
Ambagan,2015/06/10,0.9
Ambagan,2016/06/10,9.7
Ambagan,2017/06/10,3.7
Ambagan,2020/06/10,8.5
Ambagan,2022/06/10,9.8
Ambagan,2008/06/11,9
