year,precipitation_mm,5year_gaussian_smooth_precipitation,Country
1957,"1,802.97","2,283.02",Bangladesh
1958,"1,895.89","2,286.08",Bangladesh
1959,"2,823.33","2,295.11",Bangladesh
1960,"2,234.75","2,304.53",Bangladesh
1961,"2,532.52","2,310.28",Bangladesh
1962,"2,110.96","2,312.24",Bangladesh
1963,"2,232.21","2,310.83",Bangladesh
1964,"2,456.15","2,306.43",Bangladesh
1965,"2,343.20","2,299.49",Bangladesh
1966,"2,109.99","2,290.49",Bangladesh
1967,"2,138.94","2,280.53",Bangladesh
1968,"2,491.84","2,270.91",Bangladesh
1969,"2,225.16","2,263.02",Bangladesh
1970,"2,621.94","2,258.16",Bangladesh
1971,"2,103.05","2,257.62",Bangladesh
1972,"1,678.22","2,261.16",Bangladesh
1973,"2,478.37","2,266.94",Bangladesh
1974,"2,626.71","2,273.02",Bangladesh
1975,"2,176.83","2,277.50",Bangladesh
1976,"2,253.09","2,278.46",Bangladesh
1977,"2,297.48","2,275.61",Bangladesh
1978,"2,243.94","2,273.20",Bangladesh
1979,"2,230.93","2,276.20",Bangladesh
1980,"2,167.09","2,289.63",Bangladesh
1981,"2,510.13","2,318.41",Bangladesh
1982,"2,095.25","2,366.12",Bangladesh
1983,"2,638.31","2,425.17",Bangladesh
1984,"2,843.91","2,482.88",Bangladesh
1985,"2,191.29","2,526.03",Bangladesh
1986,"2,367.37","2,541.94",Bangladesh
1987,"2,585.63","2,518.16",Bangladesh
1988,"2,672.36","2,455.22",Bangladesh
1989,"1,946.21","2,370",Bangladesh
1990,"2,528.95","2,279.76",Bangladesh
1991,"2,565.61","2,201.90",Bangladesh
1992,"1,710.40","2,153.74",Bangladesh
1993,"2,601.27","2,146.48",Bangladesh
1994,"1,764.34","2,170.75",Bangladesh
1995,"2,312.05","2,213.51",Bangladesh
1996,"2,108.26","2,261.88",Bangladesh
1997,"2,148.49","2,302.50",Bangladesh
1998,"2,497.10","2,323.69",Bangladesh
1999,"2,513.31","2,324.45",Bangladesh
2000,"2,332.93","2,309.48",Bangladesh
2001,"2,252.27","2,283.70",Bangladesh
2002,"2,301.65","2,251.91",Bangladesh
2003,"2,150.53","2,218.89",Bangladesh
2004,"2,214.81","2,187.46",Bangladesh
2005,"1,991.46","2,158.17",Bangladesh
2006,"1,901.93","2,131.16",Bangladesh
2007,"2,456.52","2,106.66",Bangladesh
2008,"2,155.42","2,084.81",Bangladesh
2009,"1,957.16","2,066.25",Bangladesh
2010,"2,193.72","2,052.43",Bangladesh
2011,"1,994.39","2,045.06",Bangladesh
2012,"1,947.81","2,045.89",Bangladesh
2013,"1,996.31","2,056.65",Bangladesh
2014,"1,770.36","2,078.61",Bangladesh
2015,"2,486.10","2,108.21",Bangladesh
2016,"2,076.43","2,139.15",Bangladesh
2017,"2,681.73","2,164.77",Bangladesh
2018,"1,770.57","2,178.72",Bangladesh
2019,"1,989.33","2,174.62",Bangladesh
2020,"2,428.50","2,150.04",Bangladesh
2021,"2,092.51","2,108.78",Bangladesh
2022,"1,757.35","2,054.99",Bangladesh
2023,"2,074.60","1,992.85",Bangladesh
2024,"2,020.96","1,926.33",Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
,,,Bangladesh
