humidity_station_name,record_date,humidity_value
Rajshahi,2021/07/29,86.13
Rajshahi,2021/07/30,93.5
Rajshahi,2021/07/31,86.63
Rajshahi,2021/08/01,89.25
Rajshahi,2021/08/02,92.38
Rajshahi,2021/08/03,89.25
Rajshahi,2021/08/04,90.63
Rajshahi,2021/08/05,82.5
Rajshahi,2021/08/06,94.25
Rajshahi,2021/08/07,88.63
Rajshahi,2021/08/08,88.63
Rajshahi,2021/08/09,85.63
Rajshahi,2021/08/10,86
Rajshahi,2021/08/11,92.25
Rajshahi,2021/08/12,94.88
Rajshahi,2021/08/13,92.5
Rajshahi,2021/08/14,86.13
Rajshahi,2021/08/15,87.75
Rajshahi,2021/08/16,91.75
Rajshahi,2021/08/17,91.5
Rajshahi,2021/08/18,86.13
Rajshahi,2021/08/19,83.75
Rajshahi,2021/08/20,86.25
Rajshahi,2021/08/21,89.5
Rajshahi,2021/08/22,82.38
Rajshahi,2021/08/23,88.75
Rajshahi,2021/08/24,86.5
Rajshahi,2021/08/25,89.13
Rajshahi,2021/08/26,96
Rajshahi,2021/08/27,88.38
Rajshahi,2021/08/28,82.13
Rajshahi,2021/08/29,86
Rajshahi,2021/08/30,88.75
Rajshahi,2021/08/31,87.63
Rajshahi,2021/09/01,90.88
Rajshahi,2021/09/02,87
Rajshahi,2021/09/03,87.75
Rajshahi,2021/09/04,83.38
Rajshahi,2021/09/05,90.13
Rajshahi,2021/09/06,81.13
Rajshahi,2021/09/07,90.88
Rajshahi,2021/09/08,85.5
Rajshahi,2021/09/09,84.63
Rajshahi,2021/09/10,83.13
Rajshahi,2021/09/11,86
Rajshahi,2021/09/12,81.38
Rajshahi,2021/09/13,89
Rajshahi,2021/09/14,92.38
Rajshahi,2021/09/15,88.13
Rajshahi,2021/09/16,86.88
Rajshahi,2021/09/17,88.13
Rajshahi,2021/09/18,91.25
Rajshahi,2021/09/19,86.13
Rajshahi,2021/09/20,88
Rajshahi,2021/09/21,92.75
Rajshahi,2021/09/22,93.13
Rajshahi,2021/09/23,87.38
Rajshahi,2021/09/24,83.25
Rajshahi,2021/09/25,84.88
Rajshahi,2021/09/26,83.38
Rajshahi,2021/09/27,86.38
Rajshahi,2021/09/28,92.38
Rajshahi,2021/09/29,91.88
Rajshahi,2021/09/30,89.75
Rajshahi,2021/10/01,84.38
Rajshahi,2021/10/02,85.63
Rajshahi,2021/10/03,86.5
Rajshahi,2021/10/04,86
Rajshahi,2021/10/05,85.13
Rajshahi,2021/10/06,87.5
Rajshahi,2021/10/07,85.5
Rajshahi,2021/10/08,83.38
Rajshahi,2021/10/09,83.63
Rajshahi,2021/10/10,81.63
Rajshahi,2021/10/11,82.38
Rajshahi,2021/10/12,84
Rajshahi,2021/10/13,84.38
Rajshahi,2021/10/14,95.13
Rajshahi,2021/10/15,85.88
Rajshahi,2021/10/16,85.25
Rajshahi,2021/10/17,85.63
Rajshahi,2021/10/18,93.5
Rajshahi,2021/10/19,91.75
Rajshahi,2021/10/20,96.25
Rajshahi,2021/10/21,86.13
Rajshahi,2021/10/22,83.38
Rajshahi,2021/10/23,86.75
Rajshahi,2021/10/24,82.25
Rajshahi,2021/10/25,86.25
Rajshahi,2021/10/26,84.88
Rajshahi,2021/10/27,83.38
Rajshahi,2021/10/28,81.13
Rajshahi,2021/10/29,77.25
Rajshahi,2021/10/30,73.38
Rajshahi,2021/10/31,75.5
Rajshahi,2021/11/01,77.38
Rajshahi,2021/11/02,80.63
Rajshahi,2021/11/03,75.25
Rajshahi,2021/11/04,79.88
Rajshahi,2021/11/05,75.63
Rajshahi,2021/11/06,78.25
Rajshahi,2021/11/07,74.75
Rajshahi,2021/11/08,75.75
Rajshahi,2021/11/09,78.38
Rajshahi,2021/11/10,78.75
Rajshahi,2021/11/11,80.13
Rajshahi,2021/11/12,78
Rajshahi,2021/11/13,85.75
Rajshahi,2021/11/14,90.88
Rajshahi,2021/11/15,84.13
Rajshahi,2021/11/16,76.38
Rajshahi,2021/11/17,71.38
Rajshahi,2021/11/18,75.88
Rajshahi,2021/11/19,79.13
Rajshahi,2021/11/20,79.88
Rajshahi,2021/11/21,81
Rajshahi,2021/11/22,84
Rajshahi,2021/11/23,81.75
Rajshahi,2021/11/24,82.5
Rajshahi,2021/11/25,89.5
Rajshahi,2021/11/26,85.38
Rajshahi,2021/11/27,83.75
Rajshahi,2021/11/28,76.75
Rajshahi,2021/11/29,77.75
Rajshahi,2021/11/30,77.5
Rajshahi,2021/12/01,79
Rajshahi,2021/12/02,81.75
Rajshahi,2021/12/03,83.5
Rajshahi,2021/12/04,91.75
Rajshahi,2021/12/05,86.38
Rajshahi,2021/12/06,93.5
Rajshahi,2021/12/07,87.5
Rajshahi,2021/12/08,84.75
Rajshahi,2021/12/09,78.63
Rajshahi,2021/12/10,77.5
Rajshahi,2021/12/11,79.25
Rajshahi,2021/12/12,72.13
Rajshahi,2021/12/13,71.75
Rajshahi,2021/12/14,74.25
Rajshahi,2021/12/15,79.75
Rajshahi,2021/12/16,79.25
Rajshahi,2021/12/17,75.75
Rajshahi,2021/12/18,73.75
Rajshahi,2021/12/19,63.88
Rajshahi,2021/12/20,71.63
Rajshahi,2021/12/21,74.88
Rajshahi,2021/12/22,73.5
Rajshahi,2021/12/23,80.5
Rajshahi,2021/12/24,81.13
Rajshahi,2021/12/25,82
Rajshahi,2021/12/26,84.75
Rajshahi,2021/12/27,85.13
Rajshahi,2021/12/28,80.25
Rajshahi,2021/12/29,79.5
Rajshahi,2021/12/30,78.25
Rajshahi,2021/12/31,80.63
Ambagan,2023/08/01,84
Ambagan,2023/08/02,91.5
Ambagan,2023/08/03,91.5
Ambagan,2023/08/04,96
Ambagan,2023/08/05,97
Ambagan,2023/08/06,98
Ambagan,2023/08/07,97.5
Ambagan,2023/08/08,96.5
Ambagan,2023/08/09,95
Ambagan,2023/08/10,90.5
Ambagan,2023/08/11,86.5
Ambagan,2023/08/12,91
Ambagan,2023/08/13,91.5
Ambagan,2023/08/14,85.5
Ambagan,2023/08/15,91.5
Ambagan,2023/08/16,82.5
Ambagan,2023/08/17,86.5
Ambagan,2023/08/18,74
Ambagan,2023/08/19,77.5
Ambagan,2023/08/20,76
Ambagan,2023/08/21,88
Ambagan,2023/08/22,90.5
Ambagan,2023/08/23,88.5
Ambagan,2023/08/24,83
Ambagan,2023/08/25,93
Ambagan,2023/08/26,94.5
Ambagan,2023/08/27,99
Ambagan,2023/08/28,88.5
Ambagan,2023/08/29,82
Ambagan,2023/08/30,73
Ambagan,2023/08/31,84
Ambagan,2023/09/01,81.5
Ambagan,2023/09/02,94
Ambagan,2023/09/03,82.5
Ambagan,2023/09/04,78.5
Ambagan,2023/09/05,91
Ambagan,2023/09/06,84
Ambagan,2023/09/07,82.5
Ambagan,2023/09/08,94.5
Ambagan,2023/09/09,82.5
Ambagan,2023/09/10,80
Ambagan,2023/09/11,90
Ambagan,2023/09/12,79
Ambagan,2023/09/13,76.5
Ambagan,2023/09/14,86.5
Ambagan,2023/09/15,78.5
Ambagan,2023/09/16,76.5
Ambagan,2023/09/17,69.5
Ambagan,2023/09/18,84.5
Ambagan,2023/09/19,74.5
Ambagan,2023/09/20,86.5
Ambagan,2023/09/21,81.5
Ambagan,2023/09/22,81.5
Ambagan,2023/09/23,81
Ambagan,2023/09/24,81.5
Ambagan,2023/09/25,82
Ambagan,2023/09/26,78
Ambagan,2023/09/27,82
Ambagan,2023/09/28,83.5
Ambagan,2023/09/29,92.5
Ambagan,2023/09/30,83.5
Ambagan,2023/10/01,86
Ambagan,2023/10/02,90
Ambagan,2023/10/03,88
Ambagan,2023/10/04,97.5
Ambagan,2023/10/05,84.5
Ambagan,2023/10/06,87
Ambagan,2023/10/07,84.5
Ambagan,2023/10/08,89
Ambagan,2023/10/09,46
Ambagan,2023/10/10,87.5
Ambagan,2023/10/11,87.5
Ambagan,2023/10/12,86.5
Ambagan,2023/10/13,89.5
Ambagan,2023/10/14,88
Ambagan,2023/10/15,81.5
Ambagan,2023/10/16,83
Ambagan,2023/10/17,85
Ambagan,2023/10/18,84
Ambagan,2023/10/19,82.5
Ambagan,2023/10/20,80
Ambagan,2023/10/21,81
Ambagan,2023/10/22,81
Ambagan,2023/10/23,92.5
Ambagan,2023/10/24,97
Ambagan,2023/10/25,98
Ambagan,2023/10/26,86
Ambagan,2023/10/27,82.5
Ambagan,2023/10/28,84.5
Ambagan,2023/10/29,84.5
Ambagan,2023/10/30,78
Ambagan,2023/10/31,79
Ambagan,2023/11/01,81.5
Ambagan,2023/11/02,83.5
Ambagan,2023/11/03,77
Ambagan,2023/11/04,80
Ambagan,2023/11/05,78.5
Ambagan,2023/11/06,85
Ambagan,2023/11/07,72
Ambagan,2023/11/08,78.5
Ambagan,2023/11/09,79.5
Ambagan,2023/11/10,79
Ambagan,2023/11/11,78
Ambagan,2023/11/12,76.5
Ambagan,2023/11/13,81.5
Ambagan,2023/11/14,81
Ambagan,2023/11/15,85.5
Ambagan,2023/11/16,95
Ambagan,2023/11/17,92
Ambagan,2023/11/18,90.5
Ambagan,2023/11/19,87
Ambagan,2023/11/20,86.5
Ambagan,2023/11/21,91.5
Ambagan,2023/11/22,89.5
Ambagan,2023/11/23,89
Ambagan,2023/11/24,84
Ambagan,2023/11/25,81.5
Ambagan,2023/11/26,80
Ambagan,2023/11/27,81
Ambagan,2023/11/28,81
Ambagan,2023/11/29,86.5
Ambagan,2023/11/30,88.5
Ambagan,2023/12/01,80.5
Ambagan,2023/12/02,86.5
Ambagan,2023/12/03,81
Ambagan,2023/12/04,78
Ambagan,2023/12/05,79.5
Ambagan,2023/12/06,80
Ambagan,2023/12/07,90
Ambagan,2023/12/08,94.5
Ambagan,2023/12/09,86
Ambagan,2023/12/10,84
Ambagan,2023/12/11,90
Ambagan,2023/12/12,91
Ambagan,2023/12/13,87.5
Ambagan,2023/12/14,82
Ambagan,2023/12/15,81
Ambagan,2023/12/16,86
Ambagan,2023/12/17,90
Ambagan,2023/12/18,79
Ambagan,2023/12/19,78
Ambagan,2023/12/20,75
Ambagan,2023/12/22,76
Ambagan,2023/12/23,85.5
Ambagan,2023/12/24,84
Ambagan,2023/12/25,86
Ambagan,2023/12/26,88.5
Ambagan,2023/12/27,87
Ambagan,2023/12/28,93
Ambagan,2023/12/29,85
Ambagan,2023/12/30,78
Ambagan,2023/12/31,78
Ambagan,1999/01/01,78
Ambagan,1999/01/02,81
Ambagan,1999/01/03,75
Ambagan,1999/01/04,78
Ambagan,1999/01/05,79
Ambagan,1999/01/06,77
Ambagan,1999/01/07,80
Ambagan,1999/01/08,73
Ambagan,1999/01/09,71
Ambagan,1999/01/10,65
Ambagan,1999/01/11,66
Ambagan,1999/01/12,60
Ambagan,1999/01/13,60
Ambagan,1999/01/14,61
Ambagan,1999/01/15,70
Ambagan,1999/01/16,72
Ambagan,1999/01/17,72
Ambagan,1999/01/18,64
Ambagan,1999/01/19,69
Ambagan,1999/01/20,69
Ambagan,1999/01/21,66
Ambagan,1999/01/22,73
Ambagan,1999/01/23,73
Ambagan,1999/01/24,69
Ambagan,1999/01/25,75
Ambagan,1999/01/26,78
Ambagan,1999/01/27,70
Ambagan,1999/01/28,79
Ambagan,1999/01/29,76
Ambagan,1999/01/30,71
Ambagan,1999/01/31,77
Ambagan,1999/02/01,69
Ambagan,1999/02/02,58
Ambagan,1999/02/03,73
Ambagan,1999/02/04,72
Ambagan,1999/02/05,67
Ambagan,1999/02/06,80
Ambagan,1999/02/07,89
Ambagan,1999/02/08,73
Ambagan,1999/02/09,63
Ambagan,1999/02/10,64
Ambagan,1999/02/11,62
Ambagan,1999/02/12,64
Ambagan,1999/02/13,59
Ambagan,1999/02/14,50
Ambagan,1999/02/15,57
Ambagan,1999/02/16,70
Ambagan,1999/02/17,68
Ambagan,1999/02/18,73
Ambagan,1999/02/19,83
Ambagan,1999/02/20,80
Ambagan,1999/02/21,85
Ambagan,1999/02/22,82
Ambagan,1999/02/23,79
Ambagan,1999/02/24,72
Ambagan,1999/02/25,61
Ambagan,1999/02/26,61
Ambagan,1999/02/27,70
Ambagan,1999/02/28,59
Ambagan,1999/03/01,61
Ambagan,1999/03/02,66
Ambagan,1999/03/03,76
Ambagan,1999/03/04,73
Ambagan,1999/03/05,78
Ambagan,1999/03/06,84
Ambagan,1999/03/07,83
Ambagan,1999/03/08,88
Ambagan,1999/03/09,76
Ambagan,1999/03/10,83
Ambagan,1999/03/11,96
Ambagan,1999/03/12,91
Ambagan,1999/03/13,70
Ambagan,1999/03/14,52
Ambagan,1999/03/15,48
Ambagan,1999/03/16,52
Ambagan,1999/03/17,68
Ambagan,1999/03/18,83
Ambagan,1999/03/19,80
Ambagan,1999/03/20,92
Ambagan,1999/03/21,77
Ambagan,1999/03/22,73
Ambagan,1999/03/23,79
Ambagan,1999/03/24,82
Ambagan,1999/03/25,72
Ambagan,1999/03/26,83
Ambagan,1999/03/27,80
Ambagan,1999/03/28,79
Ambagan,1999/03/29,83
Ambagan,1999/03/30,84
Ambagan,1999/03/31,80
Ambagan,1999/04/01,83
Ambagan,1999/04/02,82
Ambagan,1999/04/03,76
Ambagan,1999/04/04,89
Ambagan,1999/04/05,84
Ambagan,1999/04/06,81
Ambagan,1999/04/07,86
Ambagan,1999/04/08,88
Ambagan,1999/04/09,86
Ambagan,1999/04/10,85
Ambagan,1999/04/11,86
Ambagan,1999/04/12,81
Ambagan,1999/04/13,81
Ambagan,1999/04/14,82
Ambagan,1999/04/15,82
Ambagan,1999/04/16,73
Ambagan,1999/04/17,76
Ambagan,1999/04/18,80
Ambagan,1999/04/19,83
Ambagan,1999/04/20,83
Ambagan,1999/04/21,97
Ambagan,1999/04/22,92
Ambagan,1999/04/23,89
Ambagan,1999/04/24,88
Ambagan,1999/04/25,88
Ambagan,1999/04/26,89
Ambagan,1999/04/27,89
Ambagan,1999/04/28,86
Ambagan,1999/04/29,83
Ambagan,1999/04/30,83
Ambagan,1999/05/01,82
Ambagan,1999/05/02,74
Ambagan,1999/05/03,85
Ambagan,1999/05/04,86
Ambagan,1999/05/05,83
Ambagan,1999/05/06,78
Ambagan,1999/05/07,82
Ambagan,1999/05/08,83
Ambagan,1999/05/09,78
Ambagan,1999/05/10,80
Ambagan,1999/05/11,83
Ambagan,1999/05/12,80
Ambagan,1999/05/13,82
Ambagan,1999/05/14,86
Ambagan,1999/05/15,89
Ambagan,1999/05/16,86
Ambagan,1999/05/17,91
Ambagan,1999/05/18,81
Ambagan,1999/05/19,84
Ambagan,1999/05/20,84
Ambagan,1999/05/21,82
Ambagan,1999/05/22,84
Ambagan,1999/05/23,84
Ambagan,1999/05/24,82
Ambagan,1999/05/25,82
Ambagan,1999/05/26,82
Ambagan,1999/05/27,77
Ambagan,1999/05/28,77
Ambagan,1999/05/29,92
Ambagan,1999/05/30,97
Ambagan,1999/05/31,93
Ambagan,1999/06/01,93
Ambagan,1999/06/02,92
Ambagan,1999/06/03,95
Ambagan,1999/06/04,92
Ambagan,1999/06/05,84
Ambagan,1999/06/06,84
Ambagan,1999/06/07,82
Ambagan,1999/06/08,85
Ambagan,1999/06/09,86
Ambagan,1999/06/10,86
Ambagan,1999/06/11,90
Ambagan,1999/06/12,98
Ambagan,1999/06/13,97
Ambagan,1999/06/14,87
Ambagan,1999/06/15,94
Ambagan,1999/06/16,98
Ambagan,1999/06/17,88
Ambagan,1999/06/18,97
Ambagan,1999/06/19,94
Ambagan,1999/06/20,85
Ambagan,1999/06/21,93
Ambagan,1999/06/22,85
Ambagan,1999/06/23,82
Ambagan,1999/06/24,82
Ambagan,1999/06/25,78
Ambagan,1999/06/26,82
Ambagan,1999/06/27,82
Ambagan,1999/06/28,83
Ambagan,1999/06/29,84
Ambagan,1999/06/30,93
Ambagan,1999/07/01,91
Ambagan,1999/07/02,94
Ambagan,1999/07/03,100
Ambagan,1999/07/04,98
Ambagan,1999/07/05,97
Ambagan,1999/07/06,91
Ambagan,1999/07/07,85
Ambagan,1999/07/08,87
Ambagan,1999/07/09,84
Ambagan,1999/07/10,89
Ambagan,1999/07/11,92
Ambagan,1999/07/12,86
Ambagan,1999/07/13,86
Ambagan,1999/07/14,82
Ambagan,1999/07/15,87
Ambagan,1999/07/16,84
Ambagan,1999/07/17,82
Ambagan,1999/07/18,88
Ambagan,1999/07/19,99
Ambagan,1999/07/20,98
Ambagan,1999/07/21,94
Ambagan,1999/07/22,91
Ambagan,1999/07/23,99
Ambagan,1999/07/24,98
Ambagan,1999/07/25,98
Ambagan,1999/07/26,88
Ambagan,1999/07/27,87
Ambagan,1999/07/28,88
Ambagan,1999/07/29,91
Ambagan,1999/07/30,86
Ambagan,1999/07/31,79
Ambagan,1999/08/01,83
Ambagan,1999/08/02,84
Ambagan,1999/08/03,83
Ambagan,1999/08/04,81
Ambagan,1999/08/05,84
Ambagan,1999/08/06,87
Ambagan,1999/08/07,87
Ambagan,1999/08/08,87
Ambagan,1999/08/09,89
Ambagan,1999/08/10,92
Ambagan,1999/08/11,96
Ambagan,1999/08/12,99
Ambagan,1999/08/13,93
Ambagan,1999/08/14,90
Ambagan,1999/08/15,92
Ambagan,1999/08/16,93
Ambagan,1999/08/17,86
Ambagan,1999/08/18,85
Ambagan,1999/08/19,87
Ambagan,1999/08/20,84
Ambagan,1999/08/21,85
Ambagan,1999/08/22,89
Ambagan,1999/08/23,85
Ambagan,1999/08/24,86
Ambagan,1999/08/25,83
Ambagan,1999/08/26,89
Ambagan,1999/08/27,81
Ambagan,1999/08/28,79
Ambagan,1999/08/29,82
Ambagan,1999/08/30,94
Ambagan,1999/08/31,89
Ambagan,1999/09/01,96
Ambagan,1999/09/02,93
Ambagan,1999/09/03,99
Ambagan,1999/09/04,88
Ambagan,1999/09/05,89
Ambagan,1999/09/06,90
Ambagan,1999/09/07,87
Ambagan,1999/09/08,89
Ambagan,1999/09/09,95
Ambagan,1999/09/10,92
Ambagan,1999/09/11,92
Ambagan,1999/09/12,91
Ambagan,1999/09/13,89
Ambagan,1999/09/14,86
Ambagan,1999/09/15,86
Ambagan,1999/09/16,84
Ambagan,1999/09/17,96
Ambagan,1999/09/18,93
Ambagan,1999/09/19,91
Ambagan,1999/09/20,92
Ambagan,1999/09/21,89
Ambagan,1999/09/22,85
Ambagan,1999/09/23,87
Ambagan,1999/09/24,89
Ambagan,1999/09/25,92
Ambagan,1999/09/26,91
Ambagan,1999/09/27,92
Ambagan,1999/09/28,87
Ambagan,1999/09/29,92
Ambagan,1999/09/30,85
Ambagan,1999/10/01,87
Ambagan,1999/10/02,86
Ambagan,1999/10/03,88
Ambagan,1999/10/04,85
Ambagan,1999/10/05,90
Ambagan,1999/10/06,90
Ambagan,1999/10/07,90
Ambagan,1999/10/08,86
Ambagan,1999/10/09,92
Ambagan,1999/10/10,86
Ambagan,1999/10/11,85
Ambagan,1999/10/12,94
Ambagan,1999/10/13,83
Ambagan,1999/10/14,84
Ambagan,1999/10/15,83
Ambagan,1999/10/16,82
Ambagan,1999/10/17,80
Ambagan,1999/10/18,92
Ambagan,1999/10/19,88
Ambagan,1999/10/20,89
Ambagan,1999/10/21,94
Ambagan,1999/10/22,87
Ambagan,1999/10/23,87
Ambagan,1999/10/24,88
Ambagan,1999/10/25,85
Ambagan,1999/10/26,84
Ambagan,1999/10/27,78
Ambagan,1999/10/28,82
Ambagan,1999/10/29,88
Ambagan,1999/10/30,90
Ambagan,1999/10/31,90
Ambagan,1999/11/01,90
Ambagan,1999/11/02,87
Ambagan,1999/11/03,86
Ambagan,1999/11/04,81
Ambagan,1999/11/05,86
Ambagan,1999/11/06,82
Ambagan,1999/11/07,84
Ambagan,1999/11/08,83
Ambagan,1999/11/09,83
Ambagan,1999/11/10,82
Ambagan,1999/11/11,78
Ambagan,1999/11/12,80
Ambagan,1999/11/13,81
Ambagan,1999/11/14,81
Ambagan,1999/11/15,88
Ambagan,1999/11/16,92
Ambagan,1999/11/17,91
Ambagan,1999/11/18,84
Ambagan,1999/11/19,81
Ambagan,1999/11/20,73
Ambagan,1999/11/21,72
Ambagan,1999/11/22,73
Ambagan,1999/11/23,70
Ambagan,1999/11/24,74
Ambagan,1999/11/25,77
Ambagan,1999/11/26,78
Ambagan,1999/11/27,77
Ambagan,1999/11/28,83
Ambagan,1999/11/29,79
Ambagan,1999/11/30,81
Ambagan,1999/12/01,82
Ambagan,1999/12/02,76
Ambagan,1999/12/03,78
Ambagan,1999/12/04,79
Ambagan,1999/12/05,77
Ambagan,1999/12/06,80
Ambagan,1999/12/07,73
Ambagan,1999/12/08,86
Ambagan,1999/12/09,97
Ambagan,1999/12/10,88
Ambagan,1999/12/11,97
Ambagan,1999/12/12,88
Ambagan,1999/12/13,85
Ambagan,1999/12/14,76
Ambagan,1999/12/15,68
Ambagan,1999/12/16,82
Ambagan,1999/12/17,82
Ambagan,1999/12/18,88
Ambagan,1999/12/19,88
Ambagan,1999/12/20,91
Ambagan,1999/12/21,87
Ambagan,1999/12/22,89
Ambagan,1999/12/23,82
Ambagan,1999/12/24,85
