division_id,Division,District_id,district,period_number,start_date,Last date,cropland_flooded_sq_km,cropland_flooded_ha,total_area_flooded_sq_km,total_area_flooded_ha,pct_of_cropland_flooded,pct_of_total_area_flooded,population_exposed
BD45,Mymensingh,BD4561,Mymensingh,55,4/1/2026,4/15/2026,18.77,1877,35.39,3539,0.641675893,0.736169477,35921
BD45,Mymensingh,BD4572,Netrakona,55,4/1/2026,4/15/2026,8.61,861,15.49,1549,0.378542255,0.501664449,7751
BD45,Mymensingh,BD4589,Sherpur,55,4/1/2026,4/15/2026,2.33,233,3.33,333,0.238060284,0.229542887,3014
BD50,Rajshahi,BD5010,Bogra,55,4/1/2026,4/15/2026,28.71,2871,87.42,8742,1.406106907,2.71230545,47049
BD50,Rajshahi,BD5038,Joypurhat,55,4/1/2026,4/15/2026,1.98,198,3.38,338,0.250739767,0.319719006,3015
BD50,Rajshahi,BD5064,Naogaon,55,4/1/2026,4/15/2026,16.46,1646,21.91,2191,0.584307914,0.575483753,10188
BD50,Rajshahi,BD5069,Natore,55,4/1/2026,4/15/2026,26.1,2610,43.35,4335,2.015838484,2.064218102,24542
BD50,Rajshahi,BD5070,Nawabganj,55,4/1/2026,4/15/2026,19.04,1904,50.73,5073,2.100284701,2.722250523,32576
BD50,Rajshahi,BD5076,Pabna,55,4/1/2026,4/15/2026,42.03,4203,76,7600,2.557812801,2.89158335,53984
BD50,Rajshahi,BD5081,Rajshahi,55,4/1/2026,4/15/2026,101.3,10130,174.27,17427,6.963971533,6.476510485,116726
BD50,Rajshahi,BD5088,Sirajganj,55,4/1/2026,4/15/2026,67.38,6738,179.58,17958,4.098507884,6.528071052,136031
BD55,Rangpur,BD5527,Dinajpur,55,4/1/2026,4/15/2026,11.91,1191,15.72,1572,0.418886369,0.407896944,12518
BD55,Rangpur,BD5532,Gaibandha,55,4/1/2026,4/15/2026,29.61,2961,143.06,14306,2.149056343,5.946989868,76256
BD55,Rangpur,BD5549,Kurigram,55,4/1/2026,4/15/2026,35.9,3590,161.95,16195,2.775626503,6.380839877,90425
BD55,Rangpur,BD5552,Lalmonirhat,55,4/1/2026,4/15/2026,6.06,606,24.24,2424,0.694018097,1.701811381,14143
BD55,Rangpur,BD5573,Nilphamari,55,4/1/2026,4/15/2026,4.5,450,15,1500,0.387095325,0.845428729,9310
BD55,Rangpur,BD5577,Panchagarh,55,4/1/2026,4/15/2026,0.54,54,0.72,72,0.054595115,0.04816276,473
BD55,Rangpur,BD5585,Rangpur,55,4/1/2026,4/15/2026,10.49,1049,20.07,2007,0.618744821,0.769166503,18445
BD55,Rangpur,BD5594,Thakurgaon,55,4/1/2026,4/15/2026,6.01,601,7.62,762,0.41590981,0.376842745,6374
BD60,Sylhet,BD6036,Habiganj,55,4/1/2026,4/15/2026,43.02,4302,47.88,4788,2.244643765,1.683033095,33276
BD60,Sylhet,BD6058,Maulvibazar,55,4/1/2026,4/15/2026,128.98,12898,200.13,20013,10.31203743,6.769592522,115684
BD60,Sylhet,BD6090,Sunamganj,55,4/1/2026,4/15/2026,37.84,3784,84.64,8464,1.571304641,2.068979619,48217
BD60,Sylhet,BD6091,Sylhet,55,4/1/2026,4/15/2026,314.31,31431,414.65,41465,13.91511133,10.95470575,279879
BD10,Barisal,BD1004,Barguna,54,3/16/2026,3/31/2026,7.61,761,72.1,7210,0.957564103,4.939364734,23590
BD10,Barisal,BD1006,Barisal,54,3/16/2026,3/31/2026,39.5,3950,203.33,20333,4.160420185,8.404921283,115930
BD10,Barisal,BD1009,Bhola,54,3/16/2026,3/31/2026,29.26,2926,201.73,20173,3.629445454,9.530910875,121664
BD10,Barisal,BD1042,Jhalokati,54,3/16/2026,3/31/2026,5.59,559,38.22,3822,1.796210474,4.755495576,22751
BD10,Barisal,BD1078,Patuakhali,54,3/16/2026,3/31/2026,29.32,2932,205.16,20516,1.949073514,7.223260434,53881
BD10,Barisal,BD1079,Pirojpur,54,3/16/2026,3/31/2026,7.53,753,68.11,6811,1.47106075,4.933954151,30770
BD20,Chattogram,BD2012,Brahamanbaria,54,3/16/2026,3/31/2026,6.02,602,20.87,2087,0.403088385,0.989160359,10067
BD20,Chattogram,BD2013,Chandpur,54,3/16/2026,3/31/2026,15.58,1558,57.14,5714,2.451168962,3.555768984,33692
BD20,Chattogram,BD2015,Chattogram,54,3/16/2026,3/31/2026,28.88,2888,114.05,11405,2.185859693,2.357199611,113470
BD20,Chattogram,BD2019,Comilla,54,3/16/2026,3/31/2026,5.01,501,16.82,1682,0.271612619,0.497464411,16924
BD20,Chattogram,BD2022,Cox's Bazar,54,3/16/2026,3/31/2026,85.08,8508,279.85,27985,14.92903968,11.92525913,280818
BD20,Chattogram,BD2030,Feni,54,3/16/2026,3/31/2026,9.81,981,31.94,3194,2.208832043,3.227204006,18834
BD20,Chattogram,BD2051,Lakshmipur,54,3/16/2026,3/31/2026,11.3,1130,59.67,5967,2.390182658,4.399405415,69700
BD20,Chattogram,BD2075,Noakhali,54,3/16/2026,3/31/2026,39.47,3947,209.94,20994,3.413489756,7.199398902,95473
BD20,Chattogram,BD2084,Rangamati,54,3/16/2026,3/31/2026,4.01,401,86.4,8640,1.832977242,1.375438465,11894
BD30,Dhaka,BD3026,Dhaka,54,3/16/2026,3/31/2026,1.6,160,14.3,1430,0.248081473,0.882526021,26478
BD30,Dhaka,BD3029,Faridpur,54,3/16/2026,3/31/2026,3.34,334,9.65,965,0.249786705,0.431122528,7363
BD30,Dhaka,BD3033,Gazipur,54,3/16/2026,3/31/2026,3.64,364,8.76,876,0.541256839,0.441361897,14674
BD30,Dhaka,BD3035,Gopalganj,54,3/16/2026,3/31/2026,21.01,2101,30.86,3086,1.904594212,1.919403914,10594
BD30,Dhaka,BD3048,Kishoreganj,54,3/16/2026,3/31/2026,22.51,2251,47.98,4798,1.101947895,1.696385875,28308
BD30,Dhaka,BD3054,Madaripur,54,3/16/2026,3/31/2026,1.79,179,5.79,579,0.254317392,0.471284687,2464
BD30,Dhaka,BD3056,Manikganj,54,3/16/2026,3/31/2026,36.96,3696,91.39,9139,4.467646255,6.05509091,53185
BD30,Dhaka,BD3059,Munshiganj,54,3/16/2026,3/31/2026,4.31,431,27.42,2742,0.774091498,2.695106832,14920
BD30,Dhaka,BD3067,Narayanganj,54,3/16/2026,3/31/2026,1.49,149,19.81,1981,0.492594105,2.56642134,16074
BD30,Dhaka,BD3068,Narsingdi,54,3/16/2026,3/31/2026,4.52,452,26.59,2659,0.783930713,2.070836413,15965
BD30,Dhaka,BD3082,Rajbari,54,3/16/2026,3/31/2026,4.69,469,35.8,3580,0.708152017,2.869018059,29722
BD30,Dhaka,BD3086,Shariatpur,54,3/16/2026,3/31/2026,18.02,1802,62.72,6272,2.706662752,4.835854552,47235
BD30,Dhaka,BD3093,Tangail,54,3/16/2026,3/31/2026,13.67,1367,32.02,3202,0.73095272,0.872598465,27245
BD40,Khulna,BD4001,Bagerhat,54,3/16/2026,3/31/2026,149.72,14972,650.99,65099,14.62907554,16.432686,188530
BD40,Khulna,BD4018,Chuadanga,54,3/16/2026,3/31/2026,3.78,378,5.73,573,0.571022315,0.448596654,3657
BD40,Khulna,BD4041,Jessore,54,3/16/2026,3/31/2026,23.68,2368,93.96,9396,1.557984856,3.342315859,44886
BD40,Khulna,BD4044,Jhenaidah,54,3/16/2026,3/31/2026,6.68,668,11.09,1109,0.53602867,0.517594128,7445
BD40,Khulna,BD4047,Khulna,54,3/16/2026,3/31/2026,131.36,13136,729.37,72937,10.5797315,18.50433013,156291
BD40,Khulna,BD4050,Kushtia,54,3/16/2026,3/31/2026,13.99,1399,29.13,2913,1.486983657,1.641643454,15069
BD40,Khulna,BD4055,Magura,54,3/16/2026,3/31/2026,0.77,77,1.73,173,0.10909788,0.151262349,864
BD40,Khulna,BD4057,Meherpur,54,3/16/2026,3/31/2026,3.75,375,4.57,457,0.803170316,0.57622702,3441
BD40,Khulna,BD4065,Narail,54,3/16/2026,3/31/2026,15.99,1599,33.59,3359,2.40160768,3.087902059,15316
BD40,Khulna,BD4087,Satkhira,54,3/16/2026,3/31/2026,79.84,7984,"1,154.14",115414,7.889094503,31.32770702,250060
BD45,Mymensingh,BD4539,Jamalpur,54,3/16/2026,3/31/2026,16.19,1619,40.85,4085,1.11876902,1.784952709,29009
BD45,Mymensingh,BD4561,Mymensingh,54,3/16/2026,3/31/2026,12.51,1251,24.28,2428,0.427669975,0.505063434,24205
BD45,Mymensingh,BD4572,Netrakona,54,3/16/2026,3/31/2026,5.06,506,7.96,796,0.222465019,0.257795288,4241
BD45,Mymensingh,BD4589,Sherpur,54,3/16/2026,3/31/2026,1.91,191,2.49,249,0.19514813,0.170714207,1781
BD50,Rajshahi,BD5010,Bogra,54,3/16/2026,3/31/2026,79.68,7968,128.78,12878,3.902424184,3.995546739,87654
BD50,Rajshahi,BD5038,Joypurhat,54,3/16/2026,3/31/2026,117.55,11755,133.34,13334,14.8860907,12.52219679,88619
BD50,Rajshahi,BD5064,Naogaon,54,3/16/2026,3/31/2026,4.85,485,8.27,827,0.172168492,0.216872465,3559
BD50,Rajshahi,BD5069,Natore,54,3/16/2026,3/31/2026,19.15,1915,33.21,3321,1.479053907,1.581376774,19195
BD50,Rajshahi,BD5070,Nawabganj,54,3/16/2026,3/31/2026,17.71,1771,41.46,4146,1.953573638,2.224807937,28831
BD50,Rajshahi,BD5076,Pabna,54,3/16/2026,3/31/2026,39.47,3947,66.71,6671,2.402019301,2.538125333,47521
BD50,Rajshahi,BD5081,Rajshahi,54,3/16/2026,3/31/2026,83.3,8330,150.13,15013,5.726543225,5.579379808,103415
BD50,Rajshahi,BD5088,Sirajganj,54,3/16/2026,3/31/2026,87.38,8738,184.79,18479,5.315043319,6.71746436,178692
BD55,Rangpur,BD5527,Dinajpur,54,3/16/2026,3/31/2026,17.24,1724,21.2,2120,0.606347692,0.550090027,14769
BD55,Rangpur,BD5532,Gaibandha,54,3/16/2026,3/31/2026,35.43,3543,112.54,11254,2.57146458,4.678276526,60167
BD55,Rangpur,BD5549,Kurigram,54,3/16/2026,3/31/2026,18.66,1866,98.8,9880,1.442707258,3.899242123,54116
BD55,Rangpur,BD5552,Lalmonirhat,54,3/16/2026,3/31/2026,2.05,205,9.86,986,0.234775099,0.696771859,4982
BD55,Rangpur,BD5573,Nilphamari,54,3/16/2026,3/31/2026,3.11,311,10.87,1087,0.26752588,0.612654019,7060
BD55,Rangpur,BD5585,Rangpur,54,3/16/2026,3/31/2026,8.08,808,13.48,1348,0.47659277,0.516610087,11940
BD55,Rangpur,BD5594,Thakurgaon,54,3/16/2026,3/31/2026,14.55,1455,16.03,1603,1.006903118,0.792754488,8891
BD60,Sylhet,BD6036,Habiganj,54,3/16/2026,3/31/2026,24.97,2497,27.2,2720,1.302853436,0.956109027,22711
BD60,Sylhet,BD6058,Maulvibazar,54,3/16/2026,3/31/2026,24.23,2423,53.02,5302,1.937204737,1.799718264,24079
BD60,Sylhet,BD6090,Sunamganj,54,3/16/2026,3/31/2026,15.66,1566,43.81,4381,0.650280938,1.070912064,24082
BD60,Sylhet,BD6091,Sylhet,54,3/16/2026,3/31/2026,404.14,40414,522.18,52218,17.89205909,13.7955583,340772
BD10,Barisal,BD1004,Barguna,53,3/1/2026,3/15/2026,11.01,1101,82.06,8206,1.385385121,5.62169584,26866
BD10,Barisal,BD1006,Barisal,53,3/1/2026,3/15/2026,42.6,4260,217.66,21766,4.486934174,8.997271266,123883
BD10,Barisal,BD1009,Bhola,53,3/1/2026,3/15/2026,27.67,2767,210.09,21009,3.432219949,9.925886411,119710
BD10,Barisal,BD1042,Jhalokati,53,3/1/2026,3/15/2026,5.97,597,43.09,4309,1.918314227,5.361441768,22940
BD10,Barisal,BD1078,Patuakhali,53,3/1/2026,3/15/2026,24.97,2497,209.41,20941,1.65990333,7.372894168,53324
BD10,Barisal,BD1079,Pirojpur,53,3/1/2026,3/15/2026,8.14,814,74.02,7402,1.590230346,5.362080257,32039
BD20,Chattogram,BD2003,Bandarban,53,3/1/2026,3/15/2026,0.05,5,0.28,28,0.062468766,0.005634136,51
BD20,Chattogram,BD2012,Brahamanbaria,53,3/1/2026,3/15/2026,3.56,356,13.53,1353,0.238371205,0.640218967,8831
BD20,Chattogram,BD2013,Chandpur,53,3/1/2026,3/15/2026,11.96,1196,51.15,5115,1.881641899,3.183016862,26559
BD20,Chattogram,BD2015,Chattogram,53,3/1/2026,3/15/2026,31.51,3151,98.38,9838,2.384918245,2.033330099,91971
BD20,Chattogram,BD2019,Comilla,53,3/1/2026,3/15/2026,6.61,661,17.56,1756,0.358355172,0.51935048,15433
BD20,Chattogram,BD2022,Cox's Bazar,53,3/1/2026,3/15/2026,77.19,7719,232.53,23253,13.54457655,9.908810101,237006
BD20,Chattogram,BD2030,Feni,53,3/1/2026,3/15/2026,12.03,1203,34.39,3439,2.708690059,3.474750963,21812
BD20,Chattogram,BD2046,Khagrachhari,53,3/1/2026,3/15/2026,0.12,12,0.96,96,0.055948956,0.030963164,163
BD20,Chattogram,BD2051,Lakshmipur,53,3/1/2026,3/15/2026,19.61,1961,67.96,6796,4.147918754,5.010618267,75569
BD20,Chattogram,BD2075,Noakhali,53,3/1/2026,3/15/2026,36.13,3613,203.18,20318,3.12463605,6.96758059,89847
BD20,Chattogram,BD2084,Rangamati,53,3/1/2026,3/15/2026,7.78,778,112.55,11255,3.556250111,1.791731472,14097
BD30,Dhaka,BD3026,Dhaka,53,3/1/2026,3/15/2026,0.99,99,16.21,1621,0.153500411,1.000401874,26533
BD30,Dhaka,BD3029,Faridpur,53,3/1/2026,3/15/2026,6.19,619,15.18,1518,0.462928055,0.680971939,9660
BD30,Dhaka,BD3033,Gazipur,53,3/1/2026,3/15/2026,3.24,324,8.07,807,0.481778066,0.42852163,10435
BD30,Dhaka,BD3035,Gopalganj,53,3/1/2026,3/15/2026,28.19,2819,40.25,4025,2.555474099,2.503435112,13472
BD30,Dhaka,BD3048,Kishoreganj,53,3/1/2026,3/15/2026,10.58,1058,31.33,3133,0.517930197,1.107706742,11764
BD30,Dhaka,BD3054,Madaripur,53,3/1/2026,3/15/2026,5.97,597,10.62,1062,0.84819823,0.860427785,4544
BD30,Dhaka,BD3056,Manikganj,53,3/1/2026,3/15/2026,16.37,1637,62.63,6263,1.978770811,4.149582489,31182
BD30,Dhaka,BD3059,Munshiganj,53,3/1/2026,3/15/2026,5.13,513,29.58,2958,0.921366447,2.894719058,21728
BD30,Dhaka,BD3067,Narayanganj,53,3/1/2026,3/15/2026,1.4,140,20.73,2073,0.462840098,2.685609004,14733
BD30,Dhaka,BD3068,Narsingdi,53,3/1/2026,3/15/2026,2.12,212,20.7,2070,0.367684317,1.645512446,6822
BD30,Dhaka,BD3082,Rajbari,53,3/1/2026,3/15/2026,7.46,746,39.25,3925,1.126399584,3.145501643,32667
BD30,Dhaka,BD3086,Shariatpur,53,3/1/2026,3/15/2026,16.92,1692,64.89,6489,2.541439165,5.003166485,49708
BD30,Dhaka,BD3093,Tangail,53,3/1/2026,3/15/2026,97.05,9705,129.13,12913,5.18939001,3.479028652,111314
BD40,Khulna,BD4001,Bagerhat,53,3/1/2026,3/15/2026,131.18,13118,596.39,59639,12.81754027,15.05443955,163966
BD40,Khulna,BD4018,Chuadanga,53,3/1/2026,3/15/2026,8.05,805,10.3,1030,1.216066041,0.806377929,7765
BD40,Khulna,BD4041,Jessore,53,3/1/2026,3/15/2026,42.18,4218,119.72,11972,2.775160524,4.258642557,59453
BD40,Khulna,BD4044,Jhenaidah,53,3/1/2026,3/15/2026,22.7,2270,27.39,2739,1.821534551,1.27835015,15951
BD40,Khulna,BD4047,Khulna,53,3/1/2026,3/15/2026,137.23,13723,636.47,63647,11.05250117,16.14742997,154664
BD40,Khulna,BD4050,Kushtia,53,3/1/2026,3/15/2026,41.37,4137,65.58,6558,4.397177547,3.695811114,40614
BD40,Khulna,BD4055,Magura,53,3/1/2026,3/15/2026,1.75,175,3.1,310,0.247949727,0.27104814,1599
BD40,Khulna,BD4057,Meherpur,53,3/1/2026,3/15/2026,9.51,951,11.7,1170,2.036839921,1.475018861,8528
BD40,Khulna,BD4065,Narail,53,3/1/2026,3/15/2026,23.79,2379,47.92,4792,3.573123622,4.405247593,21063
BD40,Khulna,BD4087,Satkhira,53,3/1/2026,3/15/2026,73.15,7315,991.75,99175,7.228046879,26.91983073,235111
BD45,Mymensingh,BD4539,Jamalpur,53,3/1/2026,3/15/2026,43.49,4349,67.07,6707,3.005266503,2.930643284,52158
BD45,Mymensingh,BD4561,Mymensingh,53,3/1/2026,3/15/2026,9.7,970,17.81,1781,0.331606615,0.374187397,15294
BD45,Mymensingh,BD4572,Netrakona,53,3/1/2026,3/15/2026,2.09,209,3,300,0.091887725,0.097159028,1836
BD45,Mymensingh,BD4589,Sherpur,53,3/1/2026,3/15/2026,10.73,1073,12.01,1201,1.096303368,0.826312445,7068
BD50,Rajshahi,BD5010,Bogra,53,3/1/2026,3/15/2026,222.24,22224,280.12,28012,10.88447227,8.691043271,212388
BD50,Rajshahi,BD5038,Joypurhat,53,3/1/2026,3/15/2026,49.74,4974,55.27,5527,6.298886867,5.190504097,36047
BD50,Rajshahi,BD5064,Naogaon,53,3/1/2026,3/15/2026,226.07,22607,247.33,24733,8.025181662,6.485981468,119093
BD50,Rajshahi,BD5069,Natore,53,3/1/2026,3/15/2026,24.61,2461,40.34,4034,1.90075805,1.920889463,23304
BD50,Rajshahi,BD5070,Nawabganj,53,3/1/2026,3/15/2026,127.06,12706,192.9,19290,14.01587049,10.35131334,118710
BD50,Rajshahi,BD5076,Pabna,53,3/1/2026,3/15/2026,55.13,5513,80.39,8039,3.355037347,3.058610335,45365
BD50,Rajshahi,BD5081,Rajshahi,53,3/1/2026,3/15/2026,130.92,13092,207.4,20740,9.00022856,7.707742437,139812
BD50,Rajshahi,BD5088,Sirajganj,53,3/1/2026,3/15/2026,233.87,23387,333.22,33322,14.22555712,12.11317427,321515
BD55,Rangpur,BD5527,Dinajpur,53,3/1/2026,3/15/2026,371.81,37181,398.92,39892,13.07692199,10.35103365,241002
BD55,Rangpur,BD5532,Gaibandha,53,3/1/2026,3/15/2026,39.13,3913,98.23,9823,2.8400059,4.081629693,63106
BD55,Rangpur,BD5549,Kurigram,53,3/1/2026,3/15/2026,35.1,3510,95.73,9573,2.713774102,3.771767838,59021
BD55,Rangpur,BD5552,Lalmonirhat,53,3/1/2026,3/15/2026,2.01,201,3.57,357,0.230194121,0.252279466,2308
BD55,Rangpur,BD5573,Nilphamari,53,3/1/2026,3/15/2026,11.37,1137,13.04,1304,0.978060854,0.734959375,11408
BD55,Rangpur,BD5577,Panchagarh,53,3/1/2026,3/15/2026,11.51,1151,12.85,1285,1.163684757,0.846688361,6015
BD55,Rangpur,BD5585,Rangpur,53,3/1/2026,3/15/2026,50.19,5019,54.48,5448,2.960419692,2.087901896,37327
BD55,Rangpur,BD5594,Thakurgaon,53,3/1/2026,3/15/2026,89.96,8996,96.58,9658,6.225498589,4.765437381,51819
BD60,Sylhet,BD6036,Habiganj,53,3/1/2026,3/15/2026,1.61,161,2.3,230,0.084004567,0.080847454,1740
BD60,Sylhet,BD6058,Maulvibazar,53,3/1/2026,3/15/2026,6.97,697,15.95,1595,0.557256171,0.541409021,6971
BD60,Sylhet,BD6090,Sunamganj,53,3/1/2026,3/15/2026,3.83,383,11.48,1148,0.159040612,0.280622472,5529
BD60,Sylhet,BD6091,Sylhet,53,3/1/2026,3/15/2026,7.89,789,21.79,2179,0.349305553,0.575755692,10550
BD60,Sylhet,BD6091,Sylhet,52,2/16/2026,2/28/2026,28.49,2849,60.13,6013,1.261307377,1.58881091,31897
BD60,Sylhet,BD6090,Sunamganj,52,2/16/2026,2/28/2026,32.74,3274,55.72,5572,1.359527324,1.362045656,35948
BD60,Sylhet,BD6058,Maulvibazar,52,2/16/2026,2/28/2026,32.35,3235,52.3,5230,2.586404178,1.769098531,33420
BD60,Sylhet,BD6036,Habiganj,52,2/16/2026,2/28/2026,91.93,9193,100.24,10024,4.796608585,3.520227474,75139
BD55,Rangpur,BD5594,Thakurgaon,52,2/16/2026,2/28/2026,202.79,20279,229.43,22943,14.03366895,11.32050423,124149
BD55,Rangpur,BD5585,Rangpur,52,2/16/2026,2/28/2026,301.21,30121,354.43,35443,17.76664705,13.57372313,266656
BD55,Rangpur,BD5577,Panchagarh,52,2/16/2026,2/28/2026,110.41,11041,133.62,13362,11.16267889,8.753447753,73034
BD55,Rangpur,BD5573,Nilphamari,52,2/16/2026,2/28/2026,164.96,16496,195.79,19579,14.19005439,11.03429091,173568
BD55,Rangpur,BD5552,Lalmonirhat,52,2/16/2026,2/28/2026,50.16,5016,61.75,6175,5.74454583,4.333162094,51620
BD55,Rangpur,BD5549,Kurigram,52,2/16/2026,2/28/2026,349.53,34953,570.52,57052,27.02408724,22.47852279,507461
BD55,Rangpur,BD5532,Gaibandha,52,2/16/2026,2/28/2026,583.93,58393,849.48,84948,42.38090072,35.29739175,815007
BD55,Rangpur,BD5527,Dinajpur,52,2/16/2026,2/28/2026,"1,153.30",115330,"1,315.82",131582,40.56269099,34.1424273,854565
BD50,Rajshahi,BD5088,Sirajganj,52,2/16/2026,2/28/2026,394.63,39463,569.24,56924,24.00406895,20.69294557,491769
BD50,Rajshahi,BD5081,Rajshahi,52,2/16/2026,2/28/2026,258.07,25807,388.59,38859,17.74128464,14.44142543,260634
BD50,Rajshahi,BD5076,Pabna,52,2/16/2026,2/28/2026,132.1,13210,182.71,18271,8.039187984,6.95151531,109959
BD50,Rajshahi,BD5070,Nawabganj,52,2/16/2026,2/28/2026,293.88,29388,427.61,42761,32.41762962,22.94621616,280333
BD50,Rajshahi,BD5069,Natore,52,2/16/2026,2/28/2026,308.54,30854,364.91,36491,23.83014582,17.37609752,201132
BD50,Rajshahi,BD5064,Naogaon,52,2/16/2026,2/28/2026,"1,329.06",132906,"1,522.43",152243,47.17984669,39.92420154,834075
BD50,Rajshahi,BD5038,Joypurhat,52,2/16/2026,2/28/2026,58.78,5878,64.37,6437,7.44367853,6.044874224,40125
BD50,Rajshahi,BD5010,Bogra,52,2/16/2026,2/28/2026,613.59,61359,769.84,76984,30.05131093,23.88516618,598967
